DATE,BR_SOY_PRICE_SORRISO
2024-05-22,117.1
2024-05-23,117.6
2024-05-24,119.7
2024-05-27,119.7
2024-05-28,115.5
2024-05-29,115.0
2024-05-31,117.6
2024-06-03,114.2
2024-06-04,117.6
2024-06-05,118.5
2024-06-06,118.9
2024-06-07,116.4
2024-06-10,118.6
2024-06-11,118.3
2024-06-12,120.0
2024-06-13,120.4
2024-06-14,119.0
2024-06-17,117.0
2024-06-18,118.8
2024-06-19,118.8
2024-06-20,118.2
2024-06-21,118.9
2024-06-24,119.5
2024-06-25,118.5
2024-06-26,120.0
2024-06-27,119.0
2024-06-28,119.6
2024-07-01,120.0
2024-07-02,122.0
2024-07-03,122.5
2024-07-04,122.5
2024-07-05,121.8
2024-07-08,118.6
2024-07-09,117.6
2024-07-10,115.0
2024-07-11,115.9
2024-07-12,115.5
2024-07-15,112.8
2024-07-16,117.5
2024-07-17,119.4
2024-07-18,121.4
2024-07-19,120.4
2024-07-22,120.5
2024-07-23,124.4
2024-07-24,124.3
2024-07-25,125.4
2024-07-26,121.5
2024-07-29,119.8
2024-07-30,118.6
2024-07-31,120.2
2024-08-01,121.3
2024-08-02,122.2
2024-08-05,119.9
2024-08-06,119.6
2024-08-07,120.0
2024-08-08,119.0
2024-08-09,118.0
2024-08-12,114.0
2024-08-13,112.4
2024-08-14,111.4
2024-08-15,109.6
2024-08-16,108.7
2024-08-19,112.0
2024-08-20,118.0
2024-08-21,122.5
2024-08-22,121.6
2024-08-23,121.4
2024-08-26,120.0
2024-08-27,122.5
2024-08-28,121.1
2024-08-29,126.0
2024-08-30,126.5
2024-09-02,126.5
2024-09-03,123.0
2024-09-04,124.9
2024-09-05,123.5
2024-09-06,123.0
2024-09-09,124.0
2024-09-10,123.6
2024-09-11,124.0
2024-09-12,124.1
2024-09-13,125.0
2024-09-16,122.0
2024-09-17,122.2
2024-09-18,123.1
2024-09-19,122.5
2024-09-20,122.4
2024-09-23,126.0
2024-09-24,127.0
2024-09-25,126.0
2024-09-26,127.0
2024-09-27,125.5
2024-09-30,127.3
2024-10-01,128.7
2024-10-02,129.0
2024-10-03,129.5
2024-10-04,128.7
2024-10-07,129.6
2024-10-08,130.4
2024-10-09,131.0
2024-10-10,130.5
2024-10-11,129.4
2024-10-14,130.0
2024-10-15,130.2
2024-10-16,130.6
2024-10-17,130.1
2024-10-18,131.3
2024-10-21,132.7
2024-10-22,133.6
2024-10-23,134.7
2024-10-24,135.9
2024-10-25,137.0
2024-10-28,138.1
2024-10-29,138.7
2024-10-30,140.0
2024-10-31,141.0
2024-11-01,141.7
2024-11-04,140.5
2024-11-05,140.0
2024-11-06,140.7
2024-11-07,139.0
2024-11-08,140.3
2024-11-11,140.0
2024-11-12,142.0
2024-11-13,141.3
2024-11-14,142.5
2024-11-18,140.8
2024-11-19,140.1
2024-11-21,138.8
2024-11-22,137.6
2024-11-25,135.3
2024-11-26,134.0
2024-11-27,133.6
2024-11-28,133.6
2024-11-29,132.8
2024-12-02,134.0
2024-12-03,135.8
2024-12-04,135.2
2024-12-05,134.3
2024-12-06,135.6
2024-12-09,134.9
2024-12-10,133.8
2024-12-11,134.4
2024-12-12,133.8
2024-12-13,132.7
2024-12-16,131.6
2024-12-17,131.0
2025-01-06,125.1
2025-01-07,119.0
2025-01-08,118.3
2025-01-09,117.1
2025-01-10,116.1
2025-01-13,115.0
2025-01-14,116.0
2025-01-15,115.0
2025-01-16,114.0
2025-01-17,115.0
2025-01-20,115.0
2025-01-21,115.5
2025-01-22,114.7
2025-01-23,114.0
2025-01-24,108.9
2025-01-27,107.6
2025-01-28,107.0
2025-01-29,106.2
2025-01-30,106.0
2025-01-31,105.6
2025-02-03,107.0
2025-02-04,107.1
2025-02-05,105.1
2025-02-06,104.0
2025-02-07,104.2
2025-02-10,106.6
2025-02-11,106.1
2025-02-12,104.8
2025-02-13,102.9
2025-02-14,105.7
2025-02-17,105.7
2025-02-18,105.2
2025-02-19,106.1
2025-02-20,106.0
2025-02-21,105.7
2025-02-24,105.4
2025-02-25,106.7
2025-02-26,106.5
2025-02-27,105.9
2025-02-28,105.6
2025-03-05,108.4
2025-03-06,109.0
2025-03-07,108.0
2025-03-10,107.5
2025-03-11,107.2
2025-03-12,106.6
2025-03-13,107.3
2025-03-14,108.0
2025-03-17,107.4
2025-03-18,108.4
2025-03-19,106.8
2025-03-20,106.5
2025-03-21,107.8
2025-03-24,108.2
2025-03-25,107.4
2025-03-26,107.0
2025-03-27,106.1
2025-03-28,106.7
2025-03-31,107.4
2025-04-01,108.1
2025-04-02,107.8
2025-04-03,106.7
2025-04-04,107.6
2025-04-07,109.2
