Year,Month,Layer_Herd,Unit,Date,Layer_Herd_LTM,YoY_Growth_1y,YoY_Growth_2y,YoY_Growth_3y
2013,JUL,52751000,HEAD,2013-07-01,51498500.0,4.536086560183894,-1.3686592001196596,-4.774712975666118
2013,AUG,51924000,HEAD,2013-08-01,51689500.0,4.617988394584138,0.4177303318635417,-3.961824436799466
2013,SEP,51859000,HEAD,2013-09-01,51893333.333333336,4.95011434237953,1.8100791173410347,-4.1228345874392165
2013,OCT,51651000,HEAD,2013-10-01,52105416.666666664,5.18266606931943,2.3035176675645808,-5.501481942259135
2013,NOV,52249000,HEAD,2013-11-01,52273500.0,4.01536868928174,4.187521186863141,-3.6760503659458377
2013,DEC,52782000,HEAD,2013-12-01,52387083.333333336,2.6507711157354175,4.728268418024162,-4.955522742824215
2014,JAN,53396000,HEAD,2014-01-01,52560000.0,4.043179205393499,5.1495638132372346,-2.9445979351461427
2014,FEB,53098000,HEAD,2014-02-01,52677833.333333336,2.735856357867039,4.682294028350054,-3.6805920873619113
2014,MAR,53474000,HEAD,2014-03-01,52709250.0,0.7100212818049956,2.5054153008607027,-3.9981328880989597
2014,APR,53679000,HEAD,2014-04-01,52744333.333333336,0.7904915693417003,1.4802631578947345,-4.180575141464804
2014,MAY,53879000,HEAD,2014-05-01,52774833.333333336,0.6839459570571638,2.0165107736584975,-2.799877324962563
2014,JUN,53744000,HEAD,2014-06-01,52873833.333333336,2.2604460004566507,4.468850228399268,-1.9359547486543227
2014,JUL,53928000,HEAD,2014-07-01,52971916.666666664,2.2312373225152227,6.868534739011523,0.8320400875044376
2014,AUG,53201000,HEAD,2014-08-01,53078333.333333336,2.4593636853863288,7.190925209542232,2.887367525334561
2014,SEP,52906000,HEAD,2014-09-01,53165583.333333336,2.018935960971091,7.0689899419181135,3.865559416534148
2014,OCT,53135000,HEAD,2014-10-01,53289250.0,2.8731292714565093,8.204700036655389,5.2428299794010425
2014,NOV,53372000,HEAD,2014-11-01,53382833.333333336,2.1493234320274057,6.250995381430169,6.426847992980922
2014,DEC,54402000,HEAD,2014-12-01,53517833.333333336,3.0692281459588466,5.801357474863367,7.942617909085503
2015,JAN,54494000,HEAD,2015-01-01,53609333.333333336,2.0563338077758564,6.182654274078847,7.311789842657679
2015,FEB,54515000,HEAD,2015-02-01,53727416.666666664,2.668650419978147,5.477517220029404,7.475898507580392
2015,MAR,55632000,HEAD,2015-03-01,53907250.0,4.035606088940424,4.7742810328267105,6.642130082235886
2015,APR,55811000,HEAD,2015-04-01,54084916.666666664,3.971758043182616,4.793646025010334,5.510813672111303
2015,MAY,56457000,HEAD,2015-05-01,54299750.0,4.784795560422439,5.501466933268562,6.89779225205438
2015,JUN,55745000,HEAD,2015-06-01,54466500.0,3.723206311402194,6.067813380013698,8.358441053552346
