Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit,Date,Avg_Weight,Month_Num,Heads_YoY_Growth,Volume_YoY_Growth,Weight_LTM_Avg
1965,SEP,197222000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1965-09-01,1.815213312916409e-08,9,9.429774673051217,1.4164305949008638,2.0221572712120855e-08
1965,OCT,190634000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.65,"HEAD × LB / HEAD, LIVE BASIS",1965-10-01,1.914663701123619e-08,10,7.059259592056799,0.0,2.010893847797319e-08
1965,NOV,168195000,HEAD,3.68,"LB / HEAD, LIVE BASIS",3.68,"HEAD × LB / HEAD, LIVE BASIS",1965-11-01,2.1879366211837452e-08,11,14.346025983561429,1.377410468319562,1.987569693135405e-08
1965,DEC,178605000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.65,"HEAD × LB / HEAD, LIVE BASIS",1965-12-01,2.0436158002295568e-08,12,11.137038212398952,-0.544959128065392,1.9675660863683753e-08
1966,JAN,174056000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1966-01-01,2.056809302753137e-08,1,2.6721564833712907,-0.8310249307479145,1.9615112893945225e-08
1966,FEB,172690000,HEAD,3.55,"LB / HEAD, LIVE BASIS",3.55,"HEAD × LB / HEAD, LIVE BASIS",1966-02-01,2.055706757774046e-08,2,13.85152953586497,-0.2808988764045006,1.9372329847505173e-08
1966,MAR,188334000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1966-03-01,1.874329648390625e-08,3,8.131042877155913,-1.1102230246251565e-14,1.9245327724696935e-08
1966,APR,191255000,HEAD,3.57,"LB / HEAD, LIVE BASIS",3.57,"HEAD × LB / HEAD, LIVE BASIS",1966-04-01,1.8666178661995765e-08,4,8.647859480094521,0.5633802816901179,1.912027695846714e-08
1966,MAY,201317000,HEAD,3.54,"LB / HEAD, LIVE BASIS",3.5399999999999996,"HEAD × LB / HEAD, LIVE BASIS",1966-05-01,1.7584207990383325e-08,5,11.132762903671,0.5681818181818121,1.8966343421553868e-08
1966,JUN,219283000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1966-06-01,1.6097919127337732e-08,6,9.026047959269912,-0.28248587570620654,1.8841116318617575e-08
1966,JUL,201680000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.45,"HEAD × LB / HEAD, LIVE BASIS",1966-07-01,1.7106307021023404e-08,7,1.5099657741091121,2.220446049250313e-14,1.8819591370181616e-08
1966,AUG,229077000,HEAD,3.51,"LB / HEAD, LIVE BASIS",3.51,"HEAD × LB / HEAD, LIVE BASIS",1966-08-01,1.532235885750206e-08,8,11.552789586711665,1.1527377521613813,1.868831025849614e-08
1966,SEP,213194000,HEAD,3.63,"LB / HEAD, LIVE BASIS",3.6300000000000003,"HEAD × LB / HEAD, LIVE BASIS",1966-09-01,1.702674559321557e-08,9,8.098487998296333,1.3966480446927498,1.859452796383376e-08
