Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2016,MAR,1559985000,HEAD,9597410000,"LB, LIVE BASIS",-3474928434859551616,"HEAD × LB, LIVE BASIS"
2016,APR,1448680000,HEAD,8962124000,"LB, LIVE BASIS",-5463494277389551616,"HEAD × LB, LIVE BASIS"
2016,MAY,1525662000,HEAD,9413033000,"LB, LIVE BASIS",-4085637320863551616,"HEAD × LB, LIVE BASIS"
2016,JUN,1546487000,HEAD,9491959000,"LB, LIVE BASIS",-3767552875676551616,"HEAD × LB, LIVE BASIS"
2016,JUL,1449734000,HEAD,8830822000,"LB, LIVE BASIS",-5644401172361551616,"HEAD × LB, LIVE BASIS"
2016,AUG,1627680000,HEAD,9903867000,"LB, LIVE BASIS",-2326417835149551616,"HEAD × LB, LIVE BASIS"
2016,SEP,1526848000,HEAD,9387566000,"LB, LIVE BASIS",-4113357701741551616,"HEAD × LB, LIVE BASIS"
2016,OCT,1496287000,HEAD,9276111000,"LB, LIVE BASIS",-4567019773852551616,"HEAD × LB, LIVE BASIS"
2016,NOV,1459190000,HEAD,9064963000,"LB, LIVE BASIS",-5219240713739551616,"HEAD × LB, LIVE BASIS"
2016,DEC,1451296000,HEAD,8987229000,"LB, LIVE BASIS",-5403614574925551616,"HEAD × LB, LIVE BASIS"
2015,JAN,1485102000,HEAD,9063983000,"LB, LIVE BASIS",-4985804792443551616,"HEAD × LB, LIVE BASIS"
2015,FEB,1342452000,HEAD,8159789000,"LB, LIVE BASIS",-7492619011081551616,"HEAD × LB, LIVE BASIS"
2015,MAR,1519858000,HEAD,9212116000,"LB, LIVE BASIS",-4445635874181551616,"HEAD × LB, LIVE BASIS"
2015,APR,1488256000,HEAD,9090805000,"LB, LIVE BASIS",-4917298987629551616,"HEAD × LB, LIVE BASIS"
2015,MAY,1441332000,HEAD,8797579000,"LB, LIVE BASIS",-5766511938481551616,"HEAD × LB, LIVE BASIS"
2015,JUN,1528705000,HEAD,9312854000,"LB, LIVE BASIS",-4210137599639551616,"HEAD × LB, LIVE BASIS"
2015,JUL,1557719000,HEAD,9425539000,"LB, LIVE BASIS",-3764402888168551616,"HEAD × LB, LIVE BASIS"
2015,AUG,1511878000,HEAD,9260482000,"LB, LIVE BASIS",-4446025068513551616,"HEAD × LB, LIVE BASIS"
2015,SEP,1530162000,HEAD,9453234000,"LB, LIVE BASIS",-3981764629801551616,"HEAD × LB, LIVE BASIS"
