DATE,GLOBAL_CURNCY_SAR
2004-03-04,3.7501
2004-03-05,3.7501
2004-03-08,3.7502
2004-03-09,3.7502
2004-03-10,3.7501
2004-03-11,3.7502
2004-03-12,3.7502
2004-03-15,3.7501
2004-03-16,3.7501
2004-03-17,3.7502
2004-03-18,3.7501
2004-03-19,3.7502
2004-03-22,3.7502
2004-03-23,3.7503
2004-03-24,3.7503
2004-03-25,3.7503
2004-03-26,3.7502
2004-03-29,3.7502
2004-03-30,3.7501
2004-03-31,3.75
2004-04-01,3.7501
2004-04-02,3.7518
2004-04-05,3.7502
2004-04-06,3.752
2004-04-07,3.7502
2004-04-08,3.7501
2004-04-09,3.7501
2004-04-12,3.7502
2004-04-13,3.7503
2004-04-14,3.7501
2004-04-15,3.7503
2004-04-16,3.7503
2004-04-19,3.7502
2004-04-20,3.7502
2004-04-21,3.7503
2004-04-22,3.7502
2004-04-23,3.7508
2004-04-26,3.7503
2004-04-27,3.7503
2004-04-28,3.7502
2004-04-29,3.7503
2004-04-30,3.7503
2004-05-03,3.7503
2004-05-04,3.7503
2004-05-05,3.7502
2004-05-06,3.7504
2004-05-07,3.7502
2004-05-10,3.7503
2004-05-11,3.7503
2004-05-12,3.7503
2004-05-13,3.7502
2004-05-14,3.7502
2004-05-17,3.7503
2004-05-18,3.7502
2004-05-19,3.7503
2004-05-20,3.7502
2004-05-21,3.7503
2004-05-24,3.7503
2004-05-25,3.7502
2004-05-26,3.7502
2004-05-27,3.7502
2004-05-28,3.7501
2004-05-31,3.7502
2004-06-01,3.7502
2004-06-02,3.7503
2004-06-03,3.7502
2004-06-04,3.7505
2004-06-07,3.7502
2004-06-08,3.7503
2004-06-09,3.7503
2004-06-10,3.7502
2004-06-11,3.7503
2004-06-14,3.7502
2004-06-15,3.7503
2004-06-16,3.7502
2004-06-17,3.7503
2004-06-18,3.7502
2004-06-21,3.7502
2004-06-22,3.7502
2004-06-23,3.7503
2004-06-24,3.7503
2004-06-25,3.7503
2004-06-28,3.7502
2004-06-29,3.7503
2004-06-30,3.7502
2004-07-01,3.7502
2004-07-02,3.7502
2004-07-05,3.7503
2004-07-06,3.7503
2004-07-07,3.7503
2004-07-08,3.7503
2004-07-09,3.7503
2004-07-12,3.7504
2004-07-13,3.7503
2004-07-14,3.7502
2004-07-15,3.7507
2004-07-16,3.7503
2004-07-19,3.7503
2004-07-20,3.7502
2004-07-21,3.7503
2004-07-22,3.7502
2004-07-23,3.7502
2004-07-26,3.7502
2004-07-27,3.7502
2004-07-28,3.7502
2004-07-29,3.7508
2004-07-30,3.7502
2004-08-02,3.7503
2004-08-03,3.7502
2004-08-04,3.7502
2004-08-05,3.7503
2004-08-06,3.7502
2004-08-09,3.7502
2004-08-10,3.7503
2004-08-11,3.7503
2004-08-12,3.7502
2004-08-13,3.7502
2004-08-16,3.7503
2004-08-17,3.7507
2004-08-18,3.7503
2004-08-19,3.7503
2004-08-20,3.7502
2004-08-23,3.7501
2004-08-24,3.7503
2004-08-25,3.7503
2004-08-26,3.7503
2004-08-27,3.7502
2004-08-30,3.7502
2004-08-31,3.7507
2004-09-01,3.7502
2004-09-02,3.7501
2004-09-03,3.7503
2004-09-06,3.7502
2004-09-07,3.7502
2004-09-08,3.7502
2004-09-09,3.7502
2004-09-10,3.7503
2004-09-13,3.7502
2004-09-14,3.7502
2004-09-15,3.7503
2004-09-16,3.7502
2004-09-17,3.7502
2004-09-20,3.7502
2004-09-21,3.7503
2004-09-22,3.7503
2004-09-23,3.7503
2004-09-24,3.7503
2004-09-27,3.7501
2004-09-28,3.7507
2004-09-29,3.7503
2004-09-30,3.7502
2004-10-01,3.7502
2004-10-04,3.7502
2004-10-05,3.7502
2004-10-06,3.7502
2004-10-07,3.7502
2004-10-08,3.7502
2004-10-11,3.7503
