DATE,BR_CAML3_PRICE
2020-02-13,9.1
2020-02-14,9.14
2020-02-17,9.23
2020-02-18,9.19
2020-02-19,9.45
2020-02-20,9.39
2020-02-21,9.3
2020-02-26,8.84
2020-02-27,8.47
2020-02-28,8.46
2020-03-02,9.0
2020-03-03,9.0
2020-03-04,8.99
2020-03-05,8.84
2020-03-06,8.57
2020-03-09,7.94
2020-03-10,8.17
2020-03-11,7.61
2020-03-12,7.47
2020-03-13,7.3
2020-03-16,7.03
2020-03-17,7.19
2020-03-18,7.42
2020-03-19,7.45
2020-03-20,6.92
2020-03-23,6.92
2020-03-24,7.17
2020-03-25,7.71
2020-03-26,8.0
2020-03-27,7.69
2020-03-30,7.91
2020-03-31,7.79
2020-04-01,7.61
2020-04-02,7.67
2020-04-03,7.47
2020-04-06,7.32
2020-04-07,7.75
2020-04-08,7.91
2020-04-09,7.75
2020-04-13,7.79
2020-04-14,7.96
2020-04-15,8.06
2020-04-16,8.15
2020-04-17,8.09
2020-04-20,8.04
2020-04-22,8.27
2020-04-23,8.27
2020-04-24,8.05
2020-04-27,8.85
2020-04-28,8.62
2020-04-29,8.86
2020-04-30,8.16
2020-05-04,8.48
2020-05-05,8.16
2020-05-06,8.33
2020-05-07,8.29
2020-05-08,8.57
2020-05-11,8.43
2020-05-12,8.62
2020-05-13,8.76
2020-05-14,8.77
2020-05-15,8.89
2020-05-18,9.1
2020-05-19,9.04
2020-05-20,9.44
2020-05-21,9.84
2020-05-22,9.71
2020-05-25,9.74
2020-05-26,9.92
2020-05-27,10.08
2020-05-28,10.08
2020-05-29,9.93
2020-06-01,10.35
2020-06-02,10.65
2020-06-03,10.76
2020-06-04,11.19
2020-06-05,11.2
2020-06-08,10.93
2020-06-09,10.59
2020-06-10,11.18
2020-06-12,11.04
2020-06-15,10.61
2020-06-16,10.64
2020-06-17,10.86
2020-06-18,10.79
2020-06-19,10.78
2020-06-22,10.88
2020-06-23,10.63
2020-06-24,10.75
2020-06-25,10.71
2020-06-26,10.85
2020-06-29,11.2
2020-06-30,11.22
2020-07-01,11.13
2020-07-02,11.23
2020-07-03,11.19
2020-07-06,11.16
2020-07-07,11.19
2020-07-08,11.48
2020-07-09,11.43
2020-07-10,11.46
2020-07-13,11.55
2020-07-14,11.34
2020-07-15,11.3
2020-07-16,11.35
2020-07-17,11.6
2020-07-20,11.85
2020-07-21,11.71
2020-07-22,11.67
2020-07-23,11.85
2020-07-24,12.01
2020-07-27,12.38
2020-07-28,12.26
2020-07-29,12.2
2020-07-30,12.3
2020-07-31,12.31
2020-08-03,12.44
2020-08-04,12.25
2020-08-05,12.17
2020-08-06,12.12
2020-08-07,11.98
2020-08-10,12.15
2020-08-11,12.62
2020-08-12,12.25
2020-08-13,12.15
2020-08-14,12.15
2020-08-17,12.02
2020-08-18,12.45
2020-08-19,12.3
2020-08-20,12.45
2020-08-21,12.59
2020-08-24,12.7
2020-08-25,12.77
2020-08-26,12.45
2020-08-27,12.57
2020-08-28,12.86
2020-08-31,12.76
2020-09-01,12.67
2020-09-02,12.62
2020-09-03,12.93
2020-09-04,13.08
2020-09-08,13.25
2020-09-09,13.19
2020-09-10,13.23
2020-09-11,12.95
2020-09-14,13.51
2020-09-15,13.69
2020-09-16,13.86
2020-09-17,13.76
2020-09-18,13.45
2020-09-21,13.36
2020-09-22,13.6
2020-09-23,13.11
2020-09-24,13.06
2020-09-25,13.07
2020-09-28,12.47
2020-09-29,12.45
2020-09-30,12.46
2020-10-01,13.13
2020-10-02,12.96
2020-10-05,13.42
2020-10-06,13.52
2020-10-07,13.7
2020-10-08,13.92
2020-10-09,13.6
2020-10-13,13.41
2020-10-14,14.1
2020-10-15,14.22
2020-10-16,13.76
2020-10-19,13.65
2020-10-20,13.92
2020-10-21,13.77
2020-10-22,13.8
2020-10-23,13.56
2020-10-26,13.34
2020-10-27,13.27
2020-10-28,12.52
2020-10-29,12.61
2020-10-30,12.09
2020-11-03,12.14
2020-11-04,12.07
2020-11-05,12.2
