DATE,US_CHICKEN_READY_TO_COOK
2020-10-29,814029.0
2020-11-05,799373.0
2020-11-12,819152.0
2020-11-19,804774.0
2020-11-26,783325.0
2020-12-03,630188.0
2020-12-10,808650.0
2020-12-17,798867.0
2020-12-24,805762.0
2020-12-31,578589.0
2021-01-07,670459.0
2021-01-14,820533.0
2021-01-21,815300.0
2021-01-28,792738.0
2021-02-04,805442.0
2021-02-11,810430.0
2021-02-18,791194.0
2021-02-25,458569.0
2021-03-04,871110.0
2021-03-11,832688.0
2021-03-18,813302.0
2021-03-25,797063.0
2021-04-01,791200.0
2021-04-08,766711.0
2021-04-15,771370.0
2021-04-22,786855.0
2021-04-29,789247.0
2021-05-06,793453.0
2021-05-13,793341.0
2021-05-20,797773.0
2021-05-27,806148.0
2021-06-03,805474.0
2021-06-10,572794.0
2021-06-17,833010.0
2021-06-24,813653.0
2021-07-01,828154.0
2021-07-08,814619.0
2021-07-15,718743.0
2021-07-22,796915.0
2021-07-29,825894.0
2021-08-05,791203.0
2021-08-12,796326.0
2021-08-19,810267.0
2021-08-26,809604.0
2021-09-02,799453.0
2021-09-09,778641.0
2021-09-16,724454.0
2021-09-23,829344.0
2021-09-30,824749.0
2021-10-07,822135.0
2021-10-14,839480.0
2021-10-21,822754.0
2021-10-28,813402.0
2021-11-04,793754.0
2021-11-11,801787.0
2021-11-18,801987.0
2021-11-25,783946.0
2021-12-02,589172.0
2021-12-09,806112.0
2021-12-16,808690.0
2021-12-23,792152.0
2021-12-30,627125.0
2022-01-06,701239.0
2022-01-13,790307.0
2022-01-20,827191.0
2022-01-27,740738.0
2022-02-03,831646.0
2022-02-10,747927.0
2022-02-17,808210.0
2022-02-24,813884.0
2022-03-03,802074.0
2022-03-10,802254.0
2022-03-17,780724.0
2022-03-24,785909.0
2022-03-31,792304.0
2022-04-07,785204.0
2022-04-14,788718.0
2022-04-21,765821.0
2022-04-28,770040.0
2022-05-05,780425.0
2022-05-12,782355.0
2022-05-19,795388.0
2022-05-26,800785.0
2022-06-02,811847.0
2022-06-09,724812.0
2022-06-16,813636.0
2022-06-23,794094.0
2022-06-30,805771.0
2022-07-07,819486.0
2022-07-14,724577.0
2022-07-21,811721.0
