Date, Composite CUTOUT VALUE, PRIME CUTOUT VALUE, BRANDED CUTOUT VALUE, CHOICE CUTOUT VALUE, SELECT CUTOUT VALUE, UNGRADED CUTOUT VALUE,Composite Primal Rib,Prime Primal Rib,Branded Primal Rib,Choice Primal Rib,Select Primal Rib,Ungraded Primal Rib,Composite Primal Chuck,Prime Primal Chuck,Branded Primal Chuck,Choice Primal Chuck,Select Primal Chuck,Ungraded Primal Chuck,Composite Primal Round,Prime Primal Round,Branded Primal Round,Choice Primal Round,Select Primal Round,Ungraded Primal Round,Composite Primal Loin,Prime Primal Loin,Branded Primal Loin,Choice Primal Loin,Select Primal Loin,Ungraded Primal Loin,Composite Primal Brisket,Prime Primal Brisket,Branded Primal Brisket,Choice Primal Brisket,Select Primal Brisket,Ungraded Primal Brisket,Composite Primal Short Plate,Prime Primal Short Plate,Branded Primal Short Plate,Choice Primal Short Plate,Select Primal Short Plate,Ungraded Primal Short Plate,Composite Primal Flank,Prime Primal Flank,Branded Primal Flank,Choice Primal Flank,Select Primal Flank,Ungraded Primal Flank,Total Volume ,Prime Volume,Branded  Volume,Choice Volume,Select Volume,"Ungraded Volume(Cuts, Trims, Grinds)",Negotiated Sales      0-21 Day,Negotiated Sales      21+ Day,Formula Sales,Forward Contract Sales,Domestic Sales,NAFTA Exports,Overseas Exports,Delivery 0-21,Delivery 22-60,Delivery 60-90,Delivery 91 and up
2009-01-30,144.86,163.39,149.74,145.48,142.74,135.78,194.49,267.64,200.04,195.19,187.84,170.79,127.45,127.09,128.83,127.06,127.28,127.1,139.66,138.5,142.02,138.48,139.87,139.54,183.8,233.9,198.39,188.09,177.82,154.86,100.26,100.87,102.53,100.87,99.56,98.83,97.56,97.56,97.56,97.56,97.56,97.56,87.35,86.82,90.75,86.81,85.55,85.3,7168,32,703,2226,1320,2887,2966,558,3121,523,6841,162,165,,,,
2009-02-06,139.11,158.9,144.46,139.63,137.71,130.17,191.12,258.58,195.51,191.64,185.85,167.49,119.53,118.95,121.69,118.95,119.71,118.44,134.75,134.42,136.08,134.39,134.31,131.45,177.76,236.2,196.0,180.99,174.46,153.33,97.62,97.69,97.38,97.69,97.36,97.84,92.87,92.87,92.87,92.87,92.87,92.87,82.11,82.8,83.82,82.8,80.73,80.73,8431,42,806,2473,1499,3611,3831,946,3156,497,7959,177,295,,,,
2009-02-13,138.52,154.68,142.56,138.93,137.2,128.66,195.91,265.85,197.52,198.6,188.7,166.33,116.6,116.16,117.83,116.14,116.83,115.33,132.77,132.19,135.71,132.17,132.11,129.21,178.6,218.88,191.36,180.46,176.92,153.4,98.2,98.03,100.1,98.03,97.55,98.81,92.76,92.76,92.76,92.76,92.76,92.76,81.32,81.07,82.67,81.05,80.21,80.38,8077,43,691,2448,1582,3314,3209,1372,3078,418,7487,169,422,,,,
2009-02-20,135.95,153.69,140.5,135.62,135.34,128.6,187.43,262.76,195.31,185.63,185.12,168.43,113.69,112.99,115.63,112.97,113.09,112.7,129.53,130.0,131.46,129.98,129.1,128.02,178.07,222.2,189.86,178.1,177.85,156.42,98.27,97.71,100.36,97.71,98.18,99.12,94.18,94.18,94.18,94.18,94.18,94.18,81.09,81.15,82.56,81.15,80.29,80.22,7046,42,698,2026,1298,2982,3089,667,3061,230,6584,291,171,,,,
2009-02-27,134.46,150.59,138.64,133.24,133.23,127.19,192.76,251.84,195.67,192.11,187.29,171.93,109.09,109.06,110.66,109.06,108.22,107.24,124.85,120.52,126.9,120.5,124.87,124.37,179.87,228.77,192.08,178.75,178.43,160.38,94.79,96.4,100.19,96.4,93.87,92.67,96.15,96.15,96.15,96.15,96.15,96.15,80.16,79.84,82.11,79.88,79.81,79.27,7862,49,745,2410,1574,3084,3576,914,3035,337,7503,173,186,,,,
2009-03-06,135.21,153.23,139.88,134.97,133.36,129.26,195.21,268.88,202.65,195.39,188.89,180.61,108.9,109.19,109.68,109.18,107.85,107.52,121.97,121.25,124.09,121.2,121.89,122.07,184.58,230.34,198.18,183.46,181.29,166.95,97.25,98.55,100.77,98.54,95.85,94.64,96.99,96.99,96.99,96.99,96.99,96.99,79.89,80.09,81.68,80.13,78.77,78.54,7821,48,689,2238,1723,3122,3056,1120,3147,498,7255,160,406,,,,
2009-03-13,135.96,152.44,139.59,134.85,134.34,130.51,201.01,263.63,205.3,201.17,194.78,185.45,107.5,107.81,108.29,107.8,107.0,106.44,120.15,116.23,122.09,116.22,120.66,118.89,188.71,237.1,199.53,187.42,184.76,173.65,98.7,97.28,101.23,97.28,99.2,100.74,96.64,96.64,96.64,96.64,96.64,96.64,79.64,79.8,81.51,79.8,77.7,79.66,7146,36,645,2138,1159,3168,2921,862,3114,249,6599,186,361,,,,
2009-03-20,135.08,152.08,140.18,134.78,133.35,129.14,204.78,269.55,208.4,202.99,202.33,191.26,105.04,104.8,108.37,104.77,103.85,102.09,114.99,113.85,117.78,113.84,115.6,113.53,192.22,239.69,205.4,193.58,186.68,176.31,96.8,95.41,101.19,95.41,96.61,100.78,96.23,96.23,96.23,96.23,96.23,96.23,78.52,79.02,80.37,79.13,76.65,77.35,8148,47,836,2472,1620,3173,3374,1285,3127,361,7703,228,217,,,,
2009-03-27,136.32,152.57,140.8,135.33,134.22,129.15,206.46,264.92,211.11,205.93,200.53,192.42,105.11,104.46,108.41,104.45,103.72,101.52,114.41,113.89,116.51,113.89,114.06,111.6,198.31,245.31,208.84,195.41,194.36,179.18,94.38,93.82,98.57,93.82,93.59,98.57,96.49,96.49,96.49,96.49,96.49,96.49,77.63,78.16,79.63,78.18,75.83,75.88,7847,53,816,2157,1470,3351,2907,1288,3132,520,7279,252,316,,,,
2009-04-03,135.3,149.16,140.08,134.96,133.96,129.22,207.72,249.52,214.49,206.68,203.53,193.97,102.08,101.7,103.26,101.67,102.18,100.05,112.69,112.25,114.36,112.23,112.77,113.34,199.26,243.67,213.44,199.57,194.81,179.18,94.95,93.41,99.41,93.41,96.92,99.53,95.14,95.14,95.14,95.14,95.14,95.14,77.19,77.73,79.08,77.73,75.06,75.89,7449,45,657,2315,1303,3128,2865,1308,3033,242,6904,243,302,,,,
