CostName,R$_kg,Year,State,Month,Date
Genética,0.36,2010,CE,8,2010-08-01
Mão de obra,0.06,2010,CE,8,2010-08-01
Sanidade,0.0,2010,CE,8,2010-08-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,8,2010-08-01
Manutenção | Seguro | Funrural,0.01,2010,CE,8,2010-08-01
Transporte,0.08,2010,CE,8,2010-08-01
Outros,0.0,2010,CE,8,2010-08-01
Depreciação,0.04,2010,CE,8,2010-08-01
Custo de capital,0.04,2010,CE,8,2010-08-01
Total,1.82,2010,CE,8,2010-08-01
Ração,1.18,2010,CE,9,2010-09-01
Genética,0.36,2010,CE,9,2010-09-01
Mão de obra,0.06,2010,CE,9,2010-09-01
Sanidade,0.0,2010,CE,9,2010-09-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,9,2010-09-01
Manutenção | Seguro | Funrural,0.01,2010,CE,9,2010-09-01
Transporte,0.08,2010,CE,9,2010-09-01
Outros,0.0,2010,CE,9,2010-09-01
Depreciação,0.04,2010,CE,9,2010-09-01
Custo de capital,0.04,2010,CE,9,2010-09-01
Total,1.85,2010,CE,9,2010-09-01
Ração,1.32,2010,CE,10,2010-10-01
Genética,0.36,2010,CE,10,2010-10-01
Mão de obra,0.06,2010,CE,10,2010-10-01
Sanidade,0.0,2010,CE,10,2010-10-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,10,2010-10-01
Manutenção | Seguro | Funrural,0.01,2010,CE,10,2010-10-01
Transporte,0.08,2010,CE,10,2010-10-01
Outros,0.0,2010,CE,10,2010-10-01
Depreciação,0.04,2010,CE,10,2010-10-01
Custo de capital,0.04,2010,CE,10,2010-10-01
Total,1.98,2010,CE,10,2010-10-01
Ração,1.47,2010,CE,11,2010-11-01
Genética,0.36,2010,CE,11,2010-11-01
Mão de obra,0.06,2010,CE,11,2010-11-01
Sanidade,0.0,2010,CE,11,2010-11-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,11,2010-11-01
Manutenção | Seguro | Funrural,0.01,2010,CE,11,2010-11-01
Transporte,0.08,2010,CE,11,2010-11-01
Outros,0.0,2010,CE,11,2010-11-01
Depreciação,0.04,2010,CE,11,2010-11-01
Custo de capital,0.04,2010,CE,11,2010-11-01
Total,2.14,2010,CE,11,2010-11-01
Ração,1.47,2010,CE,12,2010-12-01
Genética,0.36,2010,CE,12,2010-12-01
Mão de obra,0.06,2010,CE,12,2010-12-01
Sanidade,0.0,2010,CE,12,2010-12-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,12,2010-12-01
Manutenção | Seguro | Funrural,0.01,2010,CE,12,2010-12-01
Transporte,0.08,2010,CE,12,2010-12-01
Outros,0.0,2010,CE,12,2010-12-01
Depreciação,0.04,2010,CE,12,2010-12-01
Custo de capital,0.04,2010,CE,12,2010-12-01
Total,2.14,2010,CE,12,2010-12-01
Ração,0.94,2010,MS,1,2010-01-01
Genética,0.19,2010,MS,1,2010-01-01
Mão de obra,0.06,2010,MS,1,2010-01-01
Sanidade,0.0,2010,MS,1,2010-01-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,1,2010-01-01
Manutenção | Seguro | Funrural,0.01,2010,MS,1,2010-01-01
Transporte,0.03,2010,MS,1,2010-01-01
Outros,0.0,2010,MS,1,2010-01-01
Depreciação,0.03,2010,MS,1,2010-01-01
Custo de capital,0.03,2010,MS,1,2010-01-01
Total,1.36,2010,MS,1,2010-01-01
Ração,0.85,2010,MS,2,2010-02-01
Genética,0.19,2010,MS,2,2010-02-01
Mão de obra,0.06,2010,MS,2,2010-02-01
Sanidade,0.0,2010,MS,2,2010-02-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,2,2010-02-01
Manutenção | Seguro | Funrural,0.01,2010,MS,2,2010-02-01
Transporte,0.03,2010,MS,2,2010-02-01
Outros,0.0,2010,MS,2,2010-02-01
Depreciação,0.04,2010,MS,2,2010-02-01
Custo de capital,0.03,2010,MS,2,2010-02-01
Total,1.28,2010,MS,2,2010-02-01
Ração,0.84,2010,MS,3,2010-03-01
Genética,0.19,2010,MS,3,2010-03-01
Mão de obra,0.06,2010,MS,3,2010-03-01
Sanidade,0.0,2010,MS,3,2010-03-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,3,2010-03-01
Manutenção | Seguro | Funrural,0.01,2010,MS,3,2010-03-01
Transporte,0.03,2010,MS,3,2010-03-01
Outros,0.0,2010,MS,3,2010-03-01
Depreciação,0.04,2010,MS,3,2010-03-01
Custo de capital,0.03,2010,MS,3,2010-03-01
Total,1.27,2010,MS,3,2010-03-01
Ração,0.83,2010,MS,4,2010-04-01
Genética,0.19,2010,MS,4,2010-04-01
Mão de obra,0.06,2010,MS,4,2010-04-01
Sanidade,0.0,2010,MS,4,2010-04-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,4,2010-04-01
Manutenção | Seguro | Funrural,0.01,2010,MS,4,2010-04-01
Transporte,0.03,2010,MS,4,2010-04-01
Outros,0.0,2010,MS,4,2010-04-01
Depreciação,0.04,2010,MS,4,2010-04-01
Custo de capital,0.03,2010,MS,4,2010-04-01
Total,1.25,2010,MS,4,2010-04-01
Ração,0.86,2010,MS,5,2010-05-01
Genética,0.19,2010,MS,5,2010-05-01
Mão de obra,0.06,2010,MS,5,2010-05-01
Sanidade,0.0,2010,MS,5,2010-05-01
Energia elétrica | Cama | Calefação,0.07,2010,MS,5,2010-05-01
Manutenção | Seguro | Funrural,0.01,2010,MS,5,2010-05-01
Transporte,0.03,2010,MS,5,2010-05-01
Outros,0.0,2010,MS,5,2010-05-01
Depreciação,0.04,2010,MS,5,2010-05-01
Custo de capital,0.03,2010,MS,5,2010-05-01
Total,1.3,2010,MS,5,2010-05-01
Ração,0.88,2010,MS,6,2010-06-01
Genética,0.19,2010,MS,6,2010-06-01
Mão de obra,0.06,2010,MS,6,2010-06-01
Sanidade,0.0,2010,MS,6,2010-06-01
Energia elétrica | Cama | Calefação,0.07,2010,MS,6,2010-06-01
Manutenção | Seguro | Funrural,0.01,2010,MS,6,2010-06-01
Transporte,0.03,2010,MS,6,2010-06-01
Outros,0.0,2010,MS,6,2010-06-01
Depreciação,0.04,2010,MS,6,2010-06-01
Custo de capital,0.03,2010,MS,6,2010-06-01
Total,1.31,2010,MS,6,2010-06-01
Ração,0.89,2010,MS,7,2010-07-01
Genética,0.18,2010,MS,7,2010-07-01
Mão de obra,0.06,2010,MS,7,2010-07-01
Sanidade,0.0,2010,MS,7,2010-07-01
Energia elétrica | Cama | Calefação,0.07,2010,MS,7,2010-07-01
Manutenção | Seguro | Funrural,0.01,2010,MS,7,2010-07-01
Transporte,0.03,2010,MS,7,2010-07-01
Outros,0.0,2010,MS,7,2010-07-01
Depreciação,0.04,2010,MS,7,2010-07-01
Custo de capital,0.03,2010,MS,7,2010-07-01
