DATE,GLOBAL_CURNCY_ARS
2003-06-13,2.828
2003-06-16,2.8225
2003-06-17,2.8025
2003-06-18,2.7925
2003-06-19,2.8025
2003-06-20,2.8125
2003-06-23,2.7875
2003-06-24,2.7675
2003-06-25,2.762
2003-06-26,2.787
2003-06-27,2.7959
2003-06-30,2.813
2003-07-01,2.7975
2003-07-02,2.807
2003-07-03,2.803
2003-07-04,2.785
2003-07-07,2.784
2003-07-08,2.7775
2003-07-09,2.775
2003-07-10,2.767
2003-07-11,2.7575
2003-07-14,2.7675
2003-07-15,2.793
2003-07-16,2.775
2003-07-17,2.785
2003-07-18,2.805
2003-07-21,2.796
2003-07-22,2.787
2003-07-23,2.775
2003-07-24,2.7875
2003-07-25,2.82
2003-07-28,2.815
2003-07-29,2.848
2003-07-30,2.8825
2003-07-31,2.928
2003-08-01,2.94
2003-08-04,2.965
2003-08-05,2.938
2003-08-06,2.93
2003-08-07,2.925
2003-08-08,2.925
2003-08-11,2.922
2003-08-12,2.915
2003-08-13,2.89
2003-08-14,2.908
2003-08-15,2.895
2003-08-18,2.898
2003-08-19,2.902
2003-08-20,2.9125
2003-08-21,2.9437
2003-08-22,2.95
2003-08-25,2.922
2003-08-26,2.9337
2003-08-27,2.955
2003-08-28,2.977
2003-08-29,2.955
2003-09-01,2.954
2003-09-02,2.965
2003-09-03,2.975
2003-09-04,2.956
2003-09-05,2.934
2003-09-08,2.942
2003-09-09,2.942
2003-09-10,2.935
2003-09-11,2.8945
2003-09-12,2.8965
2003-09-15,2.892
2003-09-16,2.889
2003-09-17,2.9037
2003-09-18,2.928
2003-09-19,2.91
2003-09-22,2.905
2003-09-23,2.8975
2003-09-24,2.892
2003-09-25,2.8915
2003-09-26,2.9078
2003-09-29,2.9095
2003-09-30,2.9165
2003-10-01,2.905
2003-10-02,2.9025
2003-10-03,2.898
2003-10-06,2.863
2003-10-07,2.8725
2003-10-08,2.858
2003-10-09,2.839
2003-10-10,2.833
2003-10-13,2.8325
2003-10-14,2.839
2003-10-15,2.8395
2003-10-16,2.8425
2003-10-17,2.848
2003-10-20,2.8535
2003-10-21,2.8525
2003-10-22,2.849
2003-10-23,2.848
2003-10-24,2.8375
2003-10-27,2.8385
2003-10-28,2.8475
2003-10-29,2.855
2003-10-30,2.866
2003-10-31,2.878
2003-11-03,2.8575
2003-11-04,2.8525
2003-11-05,2.8537
2003-11-06,2.8548
2003-11-07,2.848
2003-11-10,2.8475
2003-11-11,2.85
2003-11-12,2.8545000000000003
2003-11-13,2.8625
2003-11-14,2.871
2003-11-17,2.8675
2003-11-18,2.8625
2003-11-19,2.872
2003-11-20,2.875
2003-11-21,2.8885
2003-11-24,2.8975
2003-11-25,2.9175
2003-11-26,2.975
2003-11-27,2.9755000000000003
2003-11-28,2.995
2003-12-01,2.9775
2003-12-02,2.9775
2003-12-03,2.987
2003-12-04,2.973
2003-12-05,2.967
2003-12-08,2.966
2003-12-09,2.957
2003-12-10,2.9395
2003-12-11,2.95
2003-12-12,2.955
2003-12-15,2.961
2003-12-16,2.9675
2003-12-17,2.9625
2003-12-18,2.9675
2003-12-19,2.9625
2003-12-22,2.9575
2003-12-23,2.9602
2003-12-24,2.955
2003-12-25,2.955
2003-12-26,2.95
2003-12-29,2.944
2003-12-30,2.938
2003-12-31,2.93
2004-01-01,2.9375
2004-01-02,2.9251
2004-01-05,2.88
2004-01-06,2.8625
2004-01-07,2.867
2004-01-08,2.89
2004-01-09,2.8925
2004-01-12,2.8475
2004-01-13,2.8625
2004-01-14,2.8763
2004-01-15,2.8648
2004-01-16,2.8773
2004-01-19,2.8825
2004-01-20,2.8925
2004-01-21,2.9075
2004-01-22,2.912
2004-01-23,2.9095
2004-01-26,2.908
2004-01-27,2.9075
2004-01-28,2.9176
2004-01-29,2.945
2004-01-30,2.9265
2004-02-02,2.936
2004-02-03,2.934
2004-02-04,2.941
2004-02-05,2.95
2004-02-06,2.9525
2004-02-09,2.934
2004-02-10,2.935
2004-02-11,2.9395
2004-02-12,2.9275
2004-02-13,2.919
2004-02-16,2.9163
2004-02-17,2.9275
2004-02-18,2.9375
2004-02-19,2.9375
2004-02-20,2.929
2004-02-23,2.9225
2004-02-24,2.9175
2004-02-25,2.9235
2004-02-26,2.9288
2004-02-27,2.922
2004-03-01,2.92
2004-03-02,2.9165
2004-03-03,2.912
2004-03-04,2.9225
2004-03-05,2.931
2004-03-08,2.935
2004-03-09,2.9075
2004-03-10,2.9138
2004-03-11,2.914
2004-03-12,2.9125
2004-03-15,2.9075
2004-03-16,2.9025
2004-03-17,2.886
2004-03-18,2.8843
2004-03-19,2.882
2004-03-22,2.866
2004-03-23,2.8683
2004-03-24,2.878
2004-03-25,2.877
2004-03-26,2.8835
2004-03-29,2.871
2004-03-30,2.866
2004-03-31,2.856
2004-04-01,2.845
2004-04-02,2.8495
2004-04-05,2.8495
2004-04-06,2.8375
2004-04-07,2.806
2004-04-08,2.8175
2004-04-09,2.8175
2004-04-12,2.8098
2004-04-13,2.815
2004-04-14,2.814
2004-04-15,2.815
2004-04-16,2.82
2004-04-19,2.8265
2004-04-20,2.838
2004-04-21,2.854
2004-04-22,2.867
2004-04-23,2.8565
2004-04-26,2.833
2004-04-27,2.833
2004-04-28,2.8533
2004-04-29,2.859
2004-04-30,2.846
2004-05-03,2.8475
2004-05-04,2.8588
2004-05-05,2.864
2004-05-06,2.889
2004-05-07,2.9208
2004-05-10,2.9175
2004-05-11,2.91
2004-05-12,2.9208
2004-05-13,2.925
2004-05-14,2.914
2004-05-17,2.9085
2004-05-18,2.904
2004-05-19,2.9055
2004-05-20,2.95
2004-05-21,2.941
2004-05-24,2.946
2004-05-25,2.9625
2004-05-26,2.9545
2004-05-27,2.9635
2004-05-28,2.965
2004-05-31,2.961
2004-06-01,2.961
2004-06-02,2.943
2004-06-03,2.96
2004-06-04,2.97
2004-06-07,2.965
2004-06-08,2.965
2004-06-09,2.956
2004-06-10,2.96
2004-06-11,2.96
2004-06-14,2.966
2004-06-15,2.953
2004-06-16,2.9535
2004-06-17,2.954
2004-06-18,2.964
2004-06-21,2.968
2004-06-22,2.959
2004-06-23,2.9415
2004-06-24,2.9475
2004-06-25,2.9545
2004-06-28,2.961
2004-06-29,2.966
2004-06-30,2.956
2004-07-01,2.949
2004-07-02,2.945
2004-07-05,2.9489
2004-07-06,2.9375
2004-07-07,2.948
2004-07-08,2.954
2004-07-09,2.957
2004-07-12,2.956
2004-07-13,2.951
2004-07-14,2.946
2004-07-15,2.946
2004-07-16,2.939
2004-07-19,2.944
2004-07-20,2.949
2004-07-21,2.954
2004-07-22,2.954
2004-07-23,2.961
2004-07-26,2.975
2004-07-27,2.974
2004-07-28,2.976
2004-07-29,2.976
2004-07-30,2.978
2004-08-02,2.984
2004-08-03,2.994
2004-08-04,3.016
2004-08-05,3.053
2004-08-06,3.0635
2004-08-09,3.039
2004-08-10,3.02
2004-08-11,3.024
2004-08-12,3.019
2004-08-13,3.0155
2004-08-16,3.015
2004-08-17,3.009
2004-08-18,3.012
2004-08-19,3.005
2004-08-20,3.0085
2004-08-23,3.006
2004-08-24,2.996
2004-08-25,2.99
2004-08-26,3.0065
2004-08-27,3.011
2004-08-30,3.007
2004-08-31,2.996
2004-09-01,2.994
2004-09-02,3.0025
2004-09-03,2.9985
2004-09-06,2.9925
2004-09-07,2.9935
2004-09-08,2.999
2004-09-09,3.004
2004-09-10,3.006
2004-09-13,3.004
2004-09-14,2.991
2004-09-15,2.984
2004-09-16,2.984
2004-09-17,3.004
2004-09-20,2.991
2004-09-21,3.004
2004-09-22,2.999
2004-09-23,2.989
2004-09-24,2.999
2004-09-27,2.996
2004-09-28,2.9875000000000003
2004-09-29,2.9885
2004-09-30,2.981
2004-10-01,2.981
2004-10-04,2.971
2004-10-05,2.9735
2004-10-06,2.974
2004-10-07,2.9725
2004-10-08,2.964
2004-10-11,2.968
2004-10-12,2.965
2004-10-13,2.974
2004-10-14,2.972
2004-10-15,2.969
2004-10-18,2.957
2004-10-19,2.953
2004-10-20,2.966
2004-10-21,2.9575
2004-10-22,2.959
2004-10-25,2.969
2004-10-26,2.973
2004-10-27,2.974
2004-10-28,2.975
2004-10-29,2.974
2004-11-01,2.969
2004-11-02,2.959
2004-11-03,2.955
2004-11-04,2.957
2004-11-05,2.964
2004-11-08,2.973
2004-11-09,2.97
2004-11-10,2.969
2004-11-11,2.968
2004-11-12,2.959
2004-11-15,2.954
2004-11-16,2.964
2004-11-17,2.936
2004-11-18,2.936
2004-11-19,2.946
2004-11-22,2.9555
2004-11-23,2.939
2004-11-24,2.9425
2004-11-25,2.9395
2004-11-26,2.9412000000000003
2004-11-29,2.951
2004-11-30,2.9438
2004-12-01,2.941
2004-12-02,2.961
2004-12-03,2.976
2004-12-06,2.984
2004-12-07,2.976
2004-12-08,2.976
2004-12-09,2.978
2004-12-10,2.976
2004-12-13,2.974
2004-12-14,2.9788
2004-12-15,2.9763
2004-12-16,2.989
2004-12-17,2.979
2004-12-20,2.964
2004-12-21,2.964
2004-12-22,2.961
2004-12-23,2.954
2004-12-24,2.9498
2004-12-27,2.961
2004-12-28,2.974
2004-12-29,2.979
2004-12-30,2.9753
2004-12-31,2.972
2005-01-03,2.969
2005-01-04,2.964
2005-01-05,2.969
2005-01-06,2.964
2005-01-07,2.962
2005-01-10,2.966
2005-01-11,2.959
2005-01-12,2.944
2005-01-13,2.934
2005-01-14,2.936
2005-01-17,2.933
2005-01-18,2.937
2005-01-19,2.941
2005-01-20,2.944
2005-01-21,2.941
2005-01-24,2.9248
2005-01-25,2.921
2005-01-26,2.921
2005-01-27,2.924
2005-01-28,2.926
2005-01-31,2.922
2005-02-01,2.924
2005-02-02,2.924
2005-02-03,2.921
2005-02-04,2.919
2005-02-07,2.919
2005-02-08,2.914
2005-02-09,2.909
2005-02-10,2.914
2005-02-11,2.911
2005-02-14,2.906
2005-02-15,2.904
2005-02-16,2.891
2005-02-17,2.9001
2005-02-18,2.916
2005-02-21,2.9105
2005-02-22,2.922
2005-02-23,2.9325
2005-02-24,2.934
2005-02-25,2.936
2005-02-28,2.9388
2005-03-01,2.949
2005-03-02,2.956
2005-03-03,2.951
2005-03-04,2.936
2005-03-07,2.929
2005-03-08,2.929
2005-03-09,2.931
2005-03-10,2.931
2005-03-11,2.92
2005-03-14,2.919
2005-03-15,2.916
2005-03-16,2.919
2005-03-17,2.916
2005-03-18,2.916
2005-03-21,2.916
2005-03-22,2.91
2005-03-23,2.914
2005-03-24,2.914
2005-03-25,2.914
2005-03-28,2.921
2005-03-29,2.919
2005-03-30,2.919
2005-03-31,2.917
2005-04-01,2.919
2005-04-04,2.919
2005-04-05,2.911
2005-04-06,2.904
2005-04-07,2.8913
2005-04-08,2.894
2005-04-11,2.889
2005-04-12,2.891
2005-04-13,2.879
2005-04-14,2.8888000000000003
2005-04-15,2.899
2005-04-18,2.905
2005-04-19,2.902
2005-04-20,2.899
2005-04-21,2.901
2005-04-22,2.899
2005-04-25,2.901
2005-04-26,2.896
2005-04-27,2.9
2005-04-28,2.908
2005-04-29,2.909
2005-05-02,2.899
2005-05-03,2.8965
2005-05-04,2.896
2005-05-05,2.896
2005-05-06,2.899
2005-05-09,2.894
2005-05-10,2.8903
2005-05-11,2.896
2005-05-12,2.8925
2005-05-13,2.8938
2005-05-16,2.884
2005-05-17,2.884
2005-05-18,2.885
2005-05-19,2.884
2005-05-20,2.8863
2005-05-23,2.885
2005-05-24,2.885
2005-05-25,2.886
2005-05-26,2.884
2005-05-27,2.886
2005-05-30,2.8838
2005-05-31,2.881
2005-06-01,2.8838
2005-06-02,2.8838
2005-06-03,2.8913
2005-06-06,2.8938
2005-06-07,2.894
2005-06-08,2.894
2005-06-09,2.8943
2005-06-10,2.893
2005-06-13,2.8788
2005-06-14,2.872
2005-06-15,2.876
2005-06-16,2.874
2005-06-17,2.8713
2005-06-20,2.871
2005-06-21,2.8688
2005-06-22,2.8638
2005-06-23,2.8713
2005-06-24,2.879
2005-06-27,2.889
2005-06-28,2.894
2005-06-29,2.894
2005-06-30,2.8863
2005-07-01,2.8863
2005-07-04,2.8845
2005-07-05,2.886
2005-07-06,2.8813
2005-07-07,2.879
2005-07-08,2.8688
2005-07-11,2.8663
2005-07-12,2.872
2005-07-13,2.8688
2005-07-14,2.8613
2005-07-15,2.8638
2005-07-18,2.863
2005-07-19,2.8613
2005-07-20,2.8613
2005-07-21,2.861
2005-07-22,2.8638
2005-07-25,2.861
2005-07-26,2.8613
2005-07-27,2.864
2005-07-28,2.8613
2005-07-29,2.861
2005-08-01,2.859
2005-08-02,2.859
2005-08-03,2.8588
2005-08-04,2.8613
2005-08-05,2.8645
2005-08-08,2.869
2005-08-09,2.8738
2005-08-10,2.874
2005-08-11,2.8763
2005-08-12,2.883
2005-08-15,2.883
2005-08-16,2.8888000000000003
2005-08-17,2.893
2005-08-18,2.8963
2005-08-19,2.907
2005-08-22,2.9063
2005-08-23,2.909
2005-08-24,2.9063
2005-08-25,2.907
2005-08-26,2.9088
2005-08-29,2.911
2005-08-30,2.9113
2005-08-31,2.9113
2005-09-01,2.909
2005-09-02,2.9088
2005-09-05,2.9088
2005-09-06,2.9063
2005-09-07,2.9038
2005-09-08,2.9038
2005-09-09,2.9113
2005-09-12,2.9163
2005-09-13,2.9188
2005-09-14,2.9188
2005-09-15,2.9138
2005-09-16,2.9115
2005-09-19,2.9113
2005-09-20,2.9138
2005-09-21,2.9138
2005-09-22,2.9113
2005-09-23,2.9088
2005-09-26,2.9088
2005-09-27,2.9088
2005-09-28,2.9138
2005-09-29,2.9163
2005-09-30,2.9088
2005-10-03,2.909
2005-10-04,2.912
2005-10-05,2.9238
2005-10-06,2.9338
2005-10-07,2.937
2005-10-10,2.9363
2005-10-11,2.9538
2005-10-12,2.965
2005-10-13,2.9838
2005-10-14,2.9713
2005-10-17,2.9688
2005-10-18,2.9688
2005-10-19,2.9713
2005-10-20,2.9813
2005-10-21,2.9813
2005-10-24,2.9763
2005-10-25,2.9888
2005-10-26,2.9979
2005-10-27,3.0163
2005-10-28,3.0138
2005-10-31,3.0013
2005-11-01,2.9913
2005-11-02,2.9863
2005-11-03,2.9815
2005-11-04,2.9813
2005-11-07,2.9738
2005-11-08,2.9638
2005-11-09,2.9688
2005-11-10,2.9713
2005-11-11,2.9663
2005-11-14,2.9663
2005-11-15,2.9535
2005-11-16,2.9496
2005-11-17,2.941
2005-11-18,2.943
2005-11-21,2.939
2005-11-22,2.944
2005-11-23,2.95
2005-11-24,2.9565
2005-11-25,2.968
2005-11-28,2.9888
2005-11-29,2.9763
2005-11-30,2.966
2005-12-01,2.979
2005-12-02,2.9813
2005-12-05,3.0038
2005-12-06,2.996
2005-12-07,2.991
2005-12-08,2.9913
2005-12-09,3.0088
2005-12-12,3.0138
2005-12-13,3.003
2005-12-14,2.998
2005-12-15,3.0138
2005-12-16,3.036
2005-12-19,3.024
2005-12-20,3.0345
2005-12-21,3.0315
2005-12-22,3.021
2005-12-23,3.022
2005-12-26,3.019
2005-12-27,3.035
2005-12-28,3.0395
2005-12-29,3.0265
2005-12-30,3.03
2006-01-02,3.026
2006-01-03,3.038
2006-01-04,3.0395
2006-01-05,3.05
2006-01-06,3.0595
2006-01-09,3.0625
2006-01-10,3.0575
2006-01-11,3.051
2006-01-12,3.04
2006-01-13,3.035
2006-01-16,3.036
2006-01-17,3.046
2006-01-18,3.0488
2006-01-19,3.046
2006-01-20,3.037
2006-01-23,3.037
2006-01-24,3.036
2006-01-25,3.049
2006-01-26,3.057
2006-01-27,3.057
2006-01-30,3.061
2006-01-31,3.067
2006-02-01,3.0688
2006-02-02,3.0688
2006-02-03,3.067
2006-02-06,3.068
2006-02-07,3.071
2006-02-08,3.0715
2006-02-09,3.063
2006-02-10,3.067
2006-02-13,3.069
2006-02-14,3.0705
2006-02-15,3.071
2006-02-16,3.0665
2006-02-17,3.068
2006-02-20,3.065
2006-02-21,3.071
2006-02-22,3.073
2006-02-23,3.074
2006-02-24,3.0745
2006-02-27,3.075
2006-02-28,3.0713
2006-03-01,3.0665
2006-03-02,3.067
2006-03-03,3.0733
2006-03-06,3.077
2006-03-07,3.081
2006-03-08,3.082
2006-03-09,3.0825
2006-03-10,3.082
2006-03-13,3.0785
2006-03-14,3.0755
2006-03-15,3.071
2006-03-16,3.075
2006-03-17,3.073
2006-03-20,3.0745
2006-03-21,3.074
2006-03-22,3.075
2006-03-23,3.0813
2006-03-24,3.0795
2006-03-27,3.0833
2006-03-28,3.0825
2006-03-29,3.08
2006-03-30,3.081
2006-03-31,3.081
2006-04-03,3.085
2006-04-04,3.083
2006-04-05,3.0789
2006-04-06,3.08
2006-04-07,3.08
2006-04-10,3.08
2006-04-11,3.0763
2006-04-12,3.078
2006-04-13,3.0788
2006-04-17,3.0755
2006-04-18,3.0708
2006-04-19,3.0695
2006-04-20,3.0585
2006-04-21,3.0585
2006-04-24,3.052
2006-04-25,3.04
2006-04-26,3.04
2006-04-27,3.0413
2006-04-28,3.048
2006-05-01,3.048
2006-05-02,3.0445
2006-05-03,3.0413
2006-05-04,3.041
2006-05-05,3.04
2006-05-08,3.0405
2006-05-09,3.041
2006-05-10,3.039
2006-05-11,3.0345
2006-05-12,3.038
2006-05-15,3.04
2006-05-16,3.0413
2006-05-17,3.049
2006-05-18,3.055
2006-05-19,3.0565
2006-05-22,3.0713
2006-05-23,3.0713
2006-05-24,3.083
2006-05-25,3.0838
2006-05-26,3.0838
2006-05-29,3.0765
