Year,Month,Heads,Heads Unit
1982,AUG,754896000,HEAD
1982,SEP,734892000,HEAD
1982,OCT,702352000,HEAD
1982,NOV,654884000,HEAD
1982,DEC,686898000,HEAD
1981,JAN,707972000,HEAD
1981,FEB,632468000,HEAD
1981,MAR,735114000,HEAD
1981,APR,747356000,HEAD
1981,MAY,732762000,HEAD
1981,JUN,765768000,HEAD
1981,JUL,758924000,HEAD
1981,AUG,721240000,HEAD
1981,SEP,729546000,HEAD
1981,OCT,728930000,HEAD
1981,NOV,606716000,HEAD
1981,DEC,688972000,HEAD
1980,JAN,707624000,HEAD
1980,FEB,653420000,HEAD
1980,MAR,681726000,HEAD
1980,APR,738544000,HEAD
1980,MAY,730730000,HEAD
1980,JUN,711600000,HEAD
1980,JUL,705038000,HEAD
1980,AUG,684748000,HEAD
1980,SEP,682952000,HEAD
1980,OCT,715348000,HEAD
1980,NOV,577440000,HEAD
1980,DEC,675158000,HEAD
1979,JAN,671170000,HEAD
1979,FEB,569134000,HEAD
1979,MAR,680716000,HEAD
1979,APR,669956000,HEAD
1979,MAY,754106000,HEAD
1979,JUN,699188000,HEAD
1979,JUL,717940000,HEAD
1979,AUG,768416000,HEAD
1979,SEP,627964000,HEAD
1979,OCT,750468000,HEAD
1979,NOV,595784000,HEAD
1979,DEC,583830000,HEAD
1978,JAN,589348000,HEAD
1978,FEB,550198000,HEAD
1978,MAR,634804000,HEAD
1978,APR,573074000,HEAD
1978,MAY,671210000,HEAD
1978,JUN,671670000,HEAD
1978,JUL,612716000,HEAD
1978,AUG,697856000,HEAD
1978,SEP,615000000,HEAD
1978,OCT,652478000,HEAD
1978,NOV,576492000,HEAD
1978,DEC,569710000,HEAD
1977,JAN,544838000,HEAD
1977,FEB,516372000,HEAD
1977,MAR,608754000,HEAD
1977,APR,574812000,HEAD
1977,MAY,617188000,HEAD
1977,JUN,653146000,HEAD
1977,JUL,577872000,HEAD
1977,AUG,665098000,HEAD
1977,SEP,608168000,HEAD
1977,OCT,576852000,HEAD
1977,NOV,545274000,HEAD
1977,DEC,565520000,HEAD
1976,JAN,546836000,HEAD
1976,FEB,491692000,HEAD
1976,MAR,590730000,HEAD
1976,APR,579018000,HEAD
1976,MAY,565868000,HEAD
1976,JUN,632392000,HEAD
1976,JUL,594410000,HEAD
