Year,Month,Heads,Unit
1970,OCT,254469000,HEAD
1970,NOV,208552000,HEAD
1970,DEC,228357000,HEAD
1969,JAN,223114000,HEAD
1969,FEB,188000000,HEAD
1969,MAR,203251000,HEAD
1969,APR,222620000,HEAD
1969,MAY,234720000,HEAD
1969,JUN,238033000,HEAD
1969,JUL,237403000,HEAD
1969,AUG,235737000,HEAD
1969,SEP,231757000,HEAD
1969,OCT,247518000,HEAD
1969,NOV,186415000,HEAD
1969,DEC,221486000,HEAD
1968,JAN,206550000,HEAD
1968,FEB,185828000,HEAD
1968,MAR,191146000,HEAD
1968,APR,204758000,HEAD
1968,MAY,221873000,HEAD
1968,JUN,206586000,HEAD
1968,JUL,231359000,HEAD
1968,AUG,231103000,HEAD
1968,SEP,204046000,HEAD
1968,OCT,233307000,HEAD
1968,NOV,178078000,HEAD
1968,DEC,192519000,HEAD
1967,JAN,204671000,HEAD
1967,FEB,176884000,HEAD
1967,MAR,205022000,HEAD
1967,APR,196388000,HEAD
1967,MAY,231422000,HEAD
1967,JUN,232540000,HEAD
1967,JUL,203772000,HEAD
1967,AUG,240230000,HEAD
1967,SEP,209473000,HEAD
1967,OCT,220140000,HEAD
1967,NOV,188195000,HEAD
1967,DEC,180856000,HEAD
1966,JAN,174056000,HEAD
1966,FEB,172690000,HEAD
1966,MAR,188334000,HEAD
1966,APR,191255000,HEAD
1966,MAY,201317000,HEAD
1966,JUN,219283000,HEAD
1966,JUL,201680000,HEAD
1966,AUG,229077000,HEAD
1966,SEP,213194000,HEAD
1966,OCT,208073000,HEAD
1966,NOV,187929000,HEAD
1966,DEC,199242000,HEAD
1965,JAN,169526000,HEAD
1965,FEB,151680000,HEAD
1965,MAR,174172000,HEAD
1965,APR,176032000,HEAD
1965,MAY,181150000,HEAD
1965,JUN,201129000,HEAD
1965,JUL,198680000,HEAD
1965,AUG,205353000,HEAD
1965,SEP,197222000,HEAD
1965,OCT,190634000,HEAD
1965,NOV,168195000,HEAD
1965,DEC,178605000,HEAD
1964,JAN,168291000,HEAD
1964,FEB,147729000,HEAD
1964,MAR,158219000,HEAD
1964,APR,170816000,HEAD
1964,MAY,176054000,HEAD
1964,JUN,191612000,HEAD
1964,JUL,186442000,HEAD
1964,AUG,185576000,HEAD
1964,SEP,180227000,HEAD
1964,OCT,178064000,HEAD
1964,NOV,147093000,HEAD
1964,DEC,160707000,HEAD
1963,JAN,161308000,HEAD
1963,FEB,130084000,HEAD
1963,MAR,144811000,HEAD
1963,APR,157452000,HEAD
1963,MAY,175875000,HEAD
1963,JUN,175772000,HEAD
1963,JUL,189597000,HEAD
1963,AUG,187441000,HEAD
1963,SEP,166167000,HEAD
1963,OCT,175724000,HEAD
1963,NOV,141498000,HEAD
