Projected_Date,Cumulative_Potential_Placements,Layer_Herd,Mortality_Rate,Mortality_Rate_LTM
2021-05-01,75331000.0,62661000,16.819105016527057,16.58619915543295
2021-06-01,74992000.0,62030000,17.284510347770432,16.5787011809153
2021-07-01,74246000.0,61514000,17.14839856692616,16.52223738330682
2021-08-01,74180000.0,61347000,17.299811269884067,16.40975141610362
2021-09-01,74237000.0,60982000,17.85497797594191,16.407975153532604
2021-10-01,74395000.0,60927000,18.103367161771622,16.431943353832153
2021-11-01,74270000.0,61267000,17.507742022350882,16.482847273537534
2021-12-01,74767000.0,62323000,16.64370644803188,16.545491615718245
2022-01-01,74605000.0,62114000,16.742845653776563,16.705695047928774
2022-02-01,75156000.0,62732000,16.530948959497582,16.805133982033755
2022-03-01,76097000.0,62407000,17.990196722604047,17.127513711632606
2022-04-01,77914000.0,62506000,19.775650075724517,17.47510501840056
2022-05-01,78385000.0,62800000,19.88263060534541,17.730398817468757
2022-06-01,78126000.0,62112000,20.497657629982335,17.998161090986414
2022-07-01,78880000.0,62257000,21.07378296146044,18.325276457197607
2022-08-01,78650000.0,62089000,21.056579783852513,18.63834050002831
2022-09-01,78441000.0,61849000,21.15220356701215,18.913109299284162
2022-10-01,78191000.0,61595000,21.224949162947137,19.173241132715457
2022-11-01,77503000.0,61414000,20.759196418203164,19.444195665703145
2022-12-01,77234000.0,61770000,20.022269984721753,19.725742627093968
2023-01-01,76325000.0,62331000,18.334752702260072,19.858401547800927
2023-02-01,75295000.0,63418000,15.773955773955773,19.79531878233911
2023-03-01,74989000.0,63836000,14.872848017709261,19.535539723597875
2023-04-01,74146000.0,64435000,13.097132684163682,18.978996607634475
2023-05-01,73568000.0,64323000,12.56660504567203,18.369327810995028
2023-06-01,72731000.0,64367000,11.499910629580235,17.619515560961517
2023-07-01,72593000.0,63815000,12.09207499345667,16.871039896961204
2023-08-01,72668000.0,63018000,13.279572851874278,16.22295598596302
2023-09-01,71906000.0,63045000,12.323032848441018,15.487191759415424
2023-10-01,72188000.0,63103000,12.585194215105,14.767212180428578
2023-11-01,72769000.0,63332000,12.968434360785498,14.117982008977107
2023-12-01,73732000.0,63524000,13.844734986166118,13.603187425764135
2024-01-01,75299000.0,62634000,16.819612478253365,13.476925740430241
2024-02-01,76516000.0,62090000,18.853573108892263,13.73356051834162
2024-03-01,77096000.0,62484000,18.952993670229322,14.073572656051624
2024-04-01,76848000.0,61798000,19.584114095357062,14.614154440317739
2024-05-01,76849000.0,61327000,20.198050722846105,15.25010824674891
2024-06-01,77350000.0,61831000,20.063348416289596,15.963728062308023
2024-07-01,78008000.0,61589000,21.04784124705158,16.71004191677427
2024-08-01,77327000.0,61485000,20.487022644095852,17.310662732792732
2024-09-01,76881000.0,61299000,20.267686424474185,17.972717197462163
2024-10-01,76590000.0,60709000,20.73508290899595,18.65187458861974
2024-11-01,76223000.0,60906000,20.09498445351141,19.245753763013568
2024-12-01,76213000.0,61100000,19.829950270951148,19.74452170341232
2025-01-01,77087000.0,61928000,19.664794323297052,19.981620190499292
2025-02-01,76843000.0,61611000,19.822234946579385,20.062342010306555
