DATE,BR_SOY_PRIMAVERA_DO_LESTE_PRICE
2015-01-30,46.83
2015-02-02,46.67
2015-02-03,47.5
2015-02-04,48.75
2015-02-05,48.2
2015-02-06,47.73
2015-02-09,48.87
2015-02-10,49.46
2015-02-11,50.5
2015-02-12,50.67
2015-02-13,50.57
2015-02-18,51.19
2015-02-19,51.4
2015-02-20,52.3
2015-02-23,52.65
2015-02-24,52.55
2015-02-25,52.85
2015-02-26,53.28
2015-02-27,53.59
2015-03-02,53.8
2015-03-03,52.9
2015-03-04,52.83
2015-03-05,53.5
2015-03-06,54.0
2015-03-09,54.5
2015-03-10,55.5
2015-03-11,56.33
2015-03-12,57.0
2015-03-13,57.17
2015-03-16,57.17
2015-03-17,57.33
2015-03-18,57.67
2015-03-19,57.89
2015-03-20,57.83
2015-03-23,57.67
2015-03-24,55.83
2015-03-25,56.61
2015-03-26,57.83
2015-03-27,57.83
2015-03-30,57.25
2015-03-31,57.25
2015-04-01,57.25
2015-04-02,57.08
2015-04-06,56.03
2015-04-07,55.75
2015-04-08,55.67
2015-04-09,54.0
2015-04-10,53.25
2015-04-13,53.88
2015-04-14,54.5
2015-04-15,55.17
2015-04-16,54.25
2015-04-17,54.17
2015-04-20,54.17
2015-04-22,54.16
2015-04-23,54.73
2015-04-24,54.41
2015-04-27,52.8
2015-04-28,52.43
2015-04-29,52.64
2015-04-30,53.67
2015-05-04,54.63
2015-05-05,55.25
2015-05-06,55.17
2015-05-07,54.55
2015-05-08,54.58
2015-05-11,54.9
2015-05-12,54.17
2015-05-13,53.33
2015-05-14,53.63
2015-05-15,53.33
2015-05-18,53.5
2015-05-19,53.83
2015-05-20,52.94
2015-05-21,52.83
2015-05-22,52.83
2015-05-25,52.83
2015-05-26,53.17
2015-05-27,53.17
2015-05-28,53.88
2015-05-29,53.83
2015-06-01,54.17
2015-06-02,54.39
2015-06-03,54.13
2015-06-05,54.04
2015-06-08,53.35
2015-06-09,52.67
2015-06-10,52.83
2015-06-11,52.78
2015-06-12,53.27
2015-06-15,52.95
2015-06-16,53.0
2015-06-17,53.5
2015-06-18,53.44
2015-06-19,53.69
2015-06-22,53.69
2015-06-23,53.88
2015-06-24,53.75
2015-06-25,53.75
2015-06-26,53.5
2015-06-29,54.17
2015-06-30,55.0
2015-07-01,56.0
2015-07-02,56.0
2015-07-03,56.0
2015-07-06,55.73
2015-07-07,56.33
2015-07-08,56.11
2015-07-09,56.04
2015-07-10,57.35
2015-07-13,57.78
2015-07-14,57.17
2015-07-15,55.33
2015-07-16,56.0
2015-07-17,56.0
2015-07-20,57.67
2015-07-21,58.0
2015-07-22,58.33
2015-07-23,58.28
2015-07-24,58.09
2015-07-27,57.2
2015-07-28,57.17
2015-07-29,57.89
2015-07-30,58.3
2015-07-31,58.83
2015-08-03,58.33
2015-08-04,58.3
2015-08-05,58.4
2015-08-06,60.0
2015-08-07,59.33
2015-08-10,60.88
2015-08-11,61.17
2015-08-12,56.33
2015-08-13,57.33
2015-08-14,57.11
2015-08-17,57.37
2015-08-18,57.83
2015-08-19,57.83
2015-08-20,58.11
2015-08-21,57.31
2015-08-24,57.93
2015-08-25,58.64
2015-08-26,58.33
2015-08-27,58.33
2015-08-28,59.44
2015-08-31,60.0
2015-09-01,61.36
2015-09-02,62.17
2015-09-03,62.5
2015-09-04,62.33
2015-09-08,63.33
2015-09-09,63.78
2015-09-10,63.78
2015-09-11,63.89
2015-09-14,63.95
2015-09-18,65.0
2015-09-21,70.0
2015-09-22,70.0
2015-09-23,68.67
2015-09-24,67.67
2015-09-25,64.56
2015-09-28,66.33
2015-09-29,66.44
2015-09-30,67.15
2015-10-01,66.9
2015-10-02,66.17
2015-10-05,65.56
2015-10-06,64.25
2015-10-07,64.58
2015-10-08,63.79
2015-10-09,63.79
2015-10-15,69.0
2015-10-16,69.0
2015-10-19,68.5
2015-10-20,68.5
2015-10-21,69.67
2015-10-22,70.17
2015-10-23,69.33
2015-10-26,67.33
2015-10-27,67.44
2015-10-28,68.48
2015-10-29,66.87
2015-10-30,66.29
2015-11-03,66.1
2015-11-04,65.7
2015-11-05,65.57
2015-11-06,66.29
2015-11-09,65.76
2015-11-10,65.25
2015-11-11,64.08
2015-11-12,63.03
2015-11-13,63.52
2015-11-16,63.76
2015-11-17,63.75
2015-11-18,62.75
2015-11-19,62.25
2015-11-20,64.13
2015-11-23,65.07
2015-11-24,61.02
2015-11-25,60.01
2015-11-26,59.67
2015-11-27,60.0
2015-11-30,60.67
2015-12-01,61.72
2015-12-02,63.41
2015-12-03,63.97
2015-12-04,63.24
2015-12-07,62.87
2015-12-08,61.79
2015-12-09,62.15
2015-12-10,62.23
2015-12-11,62.27
2015-12-14,62.29
2015-12-15,62.65
2015-12-16,62.83
2015-12-17,62.42
2015-12-18,62.21
2015-12-21,62.11
2015-12-22,62.06
2015-12-23,62.03
2015-12-28,62.02
2015-12-29,62.33
2015-12-30,62.67
2016-01-04,62.67
2016-01-05,64.34
2016-01-06,64.78
2016-01-07,65.59
2016-01-08,66.8
2016-01-11,67.4
2016-01-12,68.2
2016-01-13,69.0
2016-01-14,67.0
2016-01-15,65.32
2016-01-18,65.32
2016-01-22,64.0
2016-01-25,65.3
2016-01-26,65.43
2016-01-27,65.22
2016-02-01,66.25
2016-02-02,65.58
2016-02-03,65.36
2016-02-04,63.29
2016-02-05,62.6
2016-02-10,61.3
2016-02-11,61.43
2016-02-12,61.48
2016-02-15,61.49
2016-02-16,61.49
2016-03-22,61.33
2016-03-30,59.56
2016-03-31,58.85
2016-04-11,58.77
2016-04-12,59.7
2016-04-13,59.1
2016-04-14,60.2
2016-04-15,60.5
2016-04-18,61.1
2016-04-19,61.6
2016-04-20,63.0
2016-04-22,63.0
2016-04-25,64.83
2016-04-26,66.38
2016-04-27,66.38
2016-04-28,67.5
2016-04-29,66.07
2016-05-02,66.69
2016-05-03,67.9
2016-05-04,68.97
2016-05-05,69.67
2016-05-06,69.67
2016-05-09,69.67
2016-05-10,71.5
2016-05-11,71.75
2016-05-12,72.03
2016-05-13,72.38
2016-05-16,72.25
2016-05-17,72.84
2016-05-18,74.5
2016-05-19,75.67
2016-05-20,75.89
2016-05-23,75.0
2016-05-24,76.47
2016-05-25,78.75
2016-05-27,79.0
2016-05-30,79.0
2016-05-31,78.25
2016-06-01,78.5
2016-06-02,83.0
2016-06-03,82.55
2016-06-06,82.73
2016-06-07,79.83
2016-06-08,81.42
2016-06-09,80.61
2016-06-10,82.84
2016-06-13,83.37
2016-06-14,82.76
2016-06-15,82.19
2016-06-16,81.73
2016-06-17,83.63
2016-06-20,81.17
2016-06-21,80.5
2016-06-22,79.95
2016-06-23,79.58
2016-06-24,79.58
2016-06-27,79.9
2016-06-28,80.0
2016-06-29,77.67
2016-06-30,77.33
2016-07-01,77.33
2016-07-04,76.92
2016-07-05,76.4
2016-07-06,73.57
2016-07-07,74.5
2016-07-08,75.41
2016-07-11,76.47
2016-07-12,74.93
2016-07-13,78.27
2016-07-14,77.76
2016-07-15,77.63
2016-07-18,77.32
2016-07-19,75.97
2016-07-20,74.19
2016-07-21,73.5
2016-07-22,73.0
2016-07-25,72.17
2016-07-26,71.72
2016-07-27,69.5
2016-07-28,68.0
2016-07-29,68.0
2016-08-01,66.4
2016-08-02,67.18
2016-08-03,68.9
2016-08-04,67.62
2016-08-05,66.48
2016-08-08,66.92
2016-08-09,65.81
2016-08-10,67.65
2016-08-11,67.75
2016-08-12,68.13
2016-08-15,67.7
2016-08-16,68.56
2016-08-17,68.7
2016-08-18,69.16
2016-08-19,69.06
2016-08-22,69.86
2016-08-23,71.93
2016-08-24,72.28
2016-08-25,68.25
2016-08-26,67.63
2016-08-29,67.88
2016-08-30,68.13
2016-08-31,66.7
2016-09-01,65.78
2016-09-02,66.33
2016-09-05,66.04
2016-09-06,65.6
2016-09-08,67.03
2016-09-09,68.11
2016-09-12,67.94
2016-09-13,69.7
2016-09-14,70.17
2016-09-15,67.83
2016-09-16,69.18
2016-09-19,68.78
2016-09-20,68.2
2016-09-21,68.8
2016-09-22,70.0
2016-09-23,68.75
2016-09-26,67.7
2016-09-27,67.6
2016-09-28,67.0
2016-09-29,67.65
2016-09-30,68.15
2016-10-03,67.37
2016-10-04,68.6
2016-10-05,68.58
2016-10-06,69.23
2016-10-07,68.48
2016-10-10,68.18
2016-10-11,67.4
2016-10-13,67.87
2016-10-14,67.87
2016-10-17,68.2
2016-10-18,69.08
2016-10-19,68.98
2016-10-20,68.5
2016-10-21,69.0
2016-10-24,68.43
2016-10-25,69.37
2016-10-26,67.86
2016-10-27,66.6
2016-10-28,67.32
2016-10-31,67.6
2016-11-01,66.53
2016-11-03,64.67
2016-11-04,64.0
2016-11-07,64.83
2016-11-08,63.33
2016-11-09,63.94
2016-11-10,63.48
2016-11-11,61.83
2016-11-14,61.44
2016-11-16,62.48
2016-11-17,62.83
2016-11-18,63.23
2016-11-21,62.67
2016-11-22,62.89
2016-11-23,63.95
2016-11-25,63.98
2016-11-28,63.33
2016-11-29,64.67
2016-11-30,63.0
2016-12-01,63.67
2016-12-02,64.34
2016-12-05,65.0
2016-12-06,64.83
2016-12-07,65.67
2016-12-09,64.84
2016-12-12,64.42
2016-12-13,64.71
2016-12-14,64.86
2016-12-15,64.86
2016-12-16,64.93
2016-12-19,64.97
2017-01-03,58.5
2017-01-04,59.75
2017-01-05,60.6
2017-01-06,60.75
2017-01-09,60.4
2017-01-10,59.6
2017-01-11,59.2
2017-01-12,58.0
2017-01-13,59.83
2017-01-16,59.88
2017-01-17,58.67
2017-01-18,61.0
2017-01-19,61.72
2017-01-20,61.26
2017-01-23,58.27
2017-01-24,57.67
2017-01-26,61.4
2017-01-27,60.0
2017-01-30,59.07
2017-01-31,58.14
2017-02-01,58.67
2017-02-02,58.0
2017-02-03,59.25
2017-02-06,58.89
2017-02-07,57.67
2017-02-08,60.15
2017-02-09,59.69
2017-02-10,60.75
2017-02-13,61.0
2017-02-14,60.25
2017-02-15,59.0
2017-02-16,58.5
2017-02-17,59.75
2017-02-20,59.5
2017-02-21,59.83
2017-02-22,58.46
2017-02-23,56.88
2017-02-24,56.46
2017-03-01,56.22
2017-03-02,57.34
2017-03-03,57.42
2017-03-06,57.81
2017-03-07,56.85
2017-03-08,57.03
2017-03-09,56.6
2017-03-10,55.5
2017-03-14,56.06
2017-03-15,56.64
2017-03-16,56.09
2017-03-17,55.65
2017-03-20,56.12
2017-03-21,55.19
2017-03-22,54.55
2017-03-23,54.4
2017-03-24,54.73
2017-03-27,52.83
2017-03-28,51.7
2017-03-29,52.25
2017-03-30,52.0
2017-03-31,52.13
2017-04-03,51.22
2017-04-04,50.2
2017-04-05,51.0
2017-04-06,50.82
2017-04-07,51.0
2017-04-10,49.67
2017-04-11,49.5
2017-04-12,50.5
2017-04-13,51.14
2017-04-17,51.33
2017-04-18,49.57
2017-04-19,50.89
2017-04-20,51.75
2017-04-24,51.22
2017-04-25,51.6
2017-04-26,53.5
2017-04-27,50.88
2017-04-28,52.13
2017-05-02,52.33
2017-05-03,53.56
2017-05-04,53.44
2017-05-05,54.02
2017-05-08,55.0
2017-05-09,55.33
2017-05-10,55.83
2017-05-11,54.5
2017-05-12,54.83
2017-05-15,53.22
2017-05-16,52.98
2017-05-17,52.98
2017-05-18,54.89
2017-05-19,54.67
2017-05-22,55.57
2017-05-23,54.44
2017-05-24,53.67
2017-05-25,54.0
2017-05-26,54.14
2017-05-29,54.33
2017-05-30,53.57
2017-05-31,51.98
2017-06-01,51.43
2017-06-02,51.83
2017-06-05,52.57
2017-06-06,53.75
2017-06-07,53.57
2017-06-08,53.5
2017-06-09,54.25
2017-06-12,54.93
2017-06-13,55.19
2017-06-14,54.38
2017-06-16,54.33
2017-06-19,54.77
2017-06-20,53.93
2017-06-21,54.29
2017-06-22,54.33
2017-06-23,53.86
2017-06-26,53.43
2017-06-27,53.4
2017-06-28,55.33
2017-06-29,55.5
2017-06-30,56.11
2017-07-03,56.86
2017-07-04,57.72
2017-07-05,58.45
2017-07-06,57.17
2017-07-07,57.07
2017-07-10,58.06
2017-07-11,58.4
2017-07-12,56.61
2017-07-13,55.46
2017-07-14,55.39
2017-07-17,54.35
2017-07-18,53.49
2017-07-19,54.52
2017-07-20,55.09
2017-07-21,54.54
2017-07-24,54.05
2017-07-25,53.59
2017-07-26,53.17
2017-07-27,54.86
2017-07-28,55.85
2017-07-31,54.97
2017-08-01,54.39
2017-08-02,54.36
2017-08-03,53.55
2017-08-04,53.23
2017-08-07,53.73
2017-08-08,54.47
2017-08-09,54.54
2017-08-10,53.07
2017-08-11,53.31
2017-08-14,53.76
2017-08-15,53.64
2017-08-16,53.14
2017-08-17,52.79
2017-08-18,53.02
2017-08-21,53.14
2017-08-22,53.6
2017-08-23,53.89
2017-08-24,53.59
2017-08-25,53.83
2017-08-28,53.99
2017-08-29,54.13
2017-08-30,53.54
2017-08-31,53.83
2017-09-01,53.83
2017-09-04,53.66
2017-09-05,54.99
2017-09-06,54.83
2017-09-08,54.91
2017-09-11,54.39
2017-09-12,53.49
2017-09-13,53.82
2017-09-14,55.22
2017-09-15,56.09
2017-09-18,55.93
2017-09-19,56.08
2017-09-20,55.62
2017-09-21,55.62
2017-09-22,55.51
2017-09-25,55.87
2017-09-26,56.29
2017-09-27,56.44
2017-09-28,56.2
2017-09-29,55.04
2017-10-02,55.04
2017-10-03,54.52
2017-10-04,54.67
2017-10-05,54.3
2017-10-06,53.92
2017-10-09,53.92
2017-10-10,55.05
2017-10-11,55.06
2017-10-13,55.07
2017-10-16,56.31
2017-10-17,56.31
2017-10-18,56.06
2017-10-19,56.06
2017-10-20,55.07
2017-10-23,55.04
2017-10-24,56.02
2017-10-25,56.44
2017-10-26,55.82
2017-10-27,56.02
2017-10-30,55.87
2017-10-31,56.2
2017-11-01,57.21
2017-11-03,56.92
2017-11-06,56.94
2017-11-07,57.25
2017-11-08,58.54
2017-11-09,58.46
2017-11-10,57.58
2017-11-13,57.5
2017-11-14,57.64
2017-11-16,57.41
2017-11-17,57.3
2017-11-20,57.9
2017-11-21,58.17
2017-11-22,57.96
2017-11-23,58.56
2017-11-24,57.68
2017-11-27,57.77
2017-11-28,57.04
2017-11-29,57.53
2017-11-30,58.63
2017-12-01,57.85
2017-12-04,58.19
2017-12-05,59.06
2017-12-06,58.83
2017-12-07,59.43
2017-12-08,58.38
2017-12-11,58.48
2017-12-12,58.47
2017-12-13,58.34
2017-12-14,58.5
2017-12-15,58.22
2017-12-18,57.74
2017-12-19,57.82
2017-12-20,57.47
2017-12-21,56.98
2017-12-22,56.21
2017-12-26,56.39
2017-12-27,56.63
2017-12-28,56.71
2018-01-02,56.83
2018-01-03,56.86
2018-01-04,56.3
2018-01-05,56.0
2018-01-08,55.71
2018-01-09,55.86
2018-01-10,55.57
2018-01-11,55.71
2018-01-12,54.28
2018-01-15,54.75
2018-01-16,55.25
2018-01-17,55.25
2018-01-18,55.0
2018-01-19,54.0
2018-01-23,57.18
2018-01-24,55.5
2018-01-25,56.35
2018-01-26,56.26
2018-01-29,56.84
2018-01-30,55.8
2018-01-31,55.8
2018-02-01,54.48
2018-02-02,54.81
2018-02-05,56.14
2018-02-06,56.05
2018-02-07,56.13
2018-02-08,56.78
2018-02-09,56.47
2018-02-14,58.07
2018-02-15,59.4
2018-02-16,59.28
2018-02-19,59.85
2018-02-20,59.08
2018-02-21,59.15
2018-02-22,59.15
2018-02-23,60.07
2018-02-26,59.88
2018-02-27,59.68
2018-02-28,59.88
2018-03-01,63.6
2018-03-02,64.0
2018-03-05,63.83
2018-03-06,64.25
2018-03-07,64.25
2018-03-08,64.33
2018-03-09,64.0
2018-03-12,64.88
2018-03-13,64.2
2018-03-14,63.83
2018-03-15,64.0
2018-03-16,63.83
2018-03-19,63.0
2018-03-20,62.4
2018-03-21,62.27
2018-03-22,62.17
2018-03-23,62.17
2018-03-26,63.5
2018-03-27,64.5
2018-03-28,64.29
2018-03-29,65.29
2018-04-02,66.5
2018-04-03,66.14
2018-04-04,67.29
2018-04-05,68.5
2018-04-06,68.5
2018-04-09,70.0
2018-04-10,71.22
2018-04-11,70.5
2018-04-12,70.48
2018-04-13,68.59
2018-04-16,69.26
2018-04-17,68.72
2018-04-18,67.53
2018-04-19,67.58
2018-04-20,69.0
2018-04-23,69.0
2018-04-24,69.47
2018-04-25,69.79
2018-04-26,69.66
2018-04-27,69.66
2018-04-30,70.41
2018-05-02,70.57
2018-05-03,70.94
2018-05-04,70.72
2018-05-07,70.0
2018-05-08,69.44
2018-05-09,71.61
2018-05-10,70.65
2018-05-11,70.23
2018-05-14,71.28
2018-05-15,71.04
2018-05-16,68.08
2018-05-17,68.01
2018-05-18,71.67
2018-05-21,71.87
2018-05-22,71.58
2018-05-23,71.54
2018-05-24,71.55
2018-05-25,70.91
2018-05-28,71.74
2018-05-29,72.25
2018-05-30,72.25
2018-07-09,68.83
2018-07-10,70.03
2018-07-11,70.08
2018-07-12,70.52
2018-07-13,69.92
2018-07-16,71.64
2018-07-17,71.08
2018-07-18,71.31
2018-07-19,71.63
2018-07-20,70.52
2018-07-23,69.84
2018-07-24,69.84
2018-07-25,69.59
2018-07-26,69.66
2018-07-27,69.82
2018-07-30,70.32
2018-07-31,70.48
2018-08-01,69.57
2018-08-02,70.07
2018-08-03,70.38
2018-08-06,70.32
2018-08-07,69.92
2018-08-08,69.1
2018-08-09,70.99
2018-08-10,71.62
2018-08-13,71.39
2018-08-14,71.37
2018-08-15,71.95
2018-08-16,71.93
2018-08-17,72.36
2018-08-20,71.74
2018-08-21,71.33
2018-08-22,69.79
2018-08-23,69.21
2018-08-24,69.78
2018-08-27,70.21
2018-08-28,69.4
2018-08-29,70.16
2018-08-30,70.39
2018-08-31,70.25
2018-09-03,69.93
2018-09-04,70.93
2018-09-05,73.01
2018-09-06,72.68
2018-09-10,72.06
2018-09-11,72.93
2018-09-12,73.3
2018-09-13,74.05
2018-09-14,73.74
2018-09-17,72.97
2018-09-18,73.41
2018-09-19,71.84
2018-09-20,72.53
2018-09-21,73.61
2018-09-24,72.26
2018-09-25,73.97
2018-09-26,74.16
2018-09-27,74.18
2018-09-28,72.2
2018-10-01,75.6
2018-10-02,74.72
2018-10-03,72.27
2018-10-04,72.81
2018-10-05,70.64
2018-10-08,69.44
2018-10-09,71.62
2018-10-10,70.17
2018-10-11,70.04
2018-10-15,69.26
