ModelDate,PredictedMonth,PredictedYear,ForecastDate,ProbabilityLaNina,ProbabilityNeutral,ProbabilityElNino
2019-09-28,11,2019,2019-11-10,0.0,0.8787878787878788,0.12121212121212122
2019-09-28,12,2019,2019-12-10,0.010101010101010102,0.9696969696969697,0.02020202020202022
2019-09-28,1,2020,2020-01-10,0.010101010101010102,0.9696969696969697,0.02020202020202022
2019-09-28,2,2020,2020-02-10,0.0,0.9292929292929293,0.07070707070707072
2019-09-28,3,2020,2020-03-10,0.0,0.7373737373737375,0.26262626262626254
2019-10-12,10,2019,2019-10-10,0.0,0.0,1.0
2019-10-12,11,2019,2019-11-10,0.0,0.686868686868687,0.31313131313131304
2019-10-12,12,2019,2019-12-10,0.0,0.9292929292929293,0.07070707070707072
2019-10-12,1,2020,2020-01-10,0.0,0.9292929292929293,0.07070707070707072
2019-10-12,2,2020,2020-02-10,0.0,0.8282828282828283,0.1717171717171717
2019-10-12,3,2020,2020-03-10,0.010101010101010102,0.7070707070707072,0.28282828282828276
2019-10-26,10,2019,2019-10-10,0.0,0.0,1.0
2019-10-26,11,2019,2019-11-10,0.0,0.10101010101010101,0.898989898989899
2019-10-26,12,2019,2019-12-10,0.0,0.5656565656565656,0.43434343434343436
2019-10-26,1,2020,2020-01-10,0.0,0.7777777777777777,0.22222222222222232
2019-10-26,2,2020,2020-02-10,0.0,0.686868686868687,0.31313131313131304
2019-10-26,3,2020,2020-03-10,0.0,0.5858585858585859,0.41414141414141414
2019-10-26,4,2020,2020-04-10,0.0,0.595959595959596,0.404040404040404
2019-11-09,11,2019,2019-11-10,0.0,0.0,1.0
2019-11-09,12,2019,2019-12-10,0.0,0.48484848484848486,0.5151515151515151
2019-11-09,1,2020,2020-01-10,0.0,0.686868686868687,0.31313131313131304
2019-11-09,2,2020,2020-02-10,0.0,0.6666666666666667,0.33333333333333326
2019-11-09,3,2020,2020-03-10,0.0,0.7373737373737375,0.26262626262626254
2019-11-09,4,2020,2020-04-10,0.0,0.7676767676767676,0.23232323232323238
2019-11-23,11,2019,2019-11-10,0.0,0.0,1.0
2019-11-23,12,2019,2019-12-10,0.0,0.898989898989899,0.101010101010101
2019-11-23,1,2020,2020-01-10,0.0,0.7474747474747475,0.2525252525252525
2019-11-23,2,2020,2020-02-10,0.0,0.7272727272727273,0.2727272727272727
2019-11-23,3,2020,2020-03-10,0.0,0.7979797979797979,0.2020202020202021
2019-11-23,4,2020,2020-04-10,0.010101010101010102,0.8282828282828283,0.16161616161616166
2019-11-23,5,2020,2020-05-10,0.010101010101010102,0.8585858585858586,0.13131313131313138
2019-12-07,11,2019,2019-11-10,0.0,0.0,1.0
2019-12-07,12,2019,2019-12-10,0.0,0.8888888888888888,0.11111111111111116
2019-12-07,1,2020,2020-01-10,0.0,0.686868686868687,0.31313131313131304
2019-12-07,2,2020,2020-02-10,0.0,0.6363636363636364,0.36363636363636365
2019-12-07,3,2020,2020-03-10,0.010101010101010102,0.6464646464646465,0.3434343434343434
2019-12-07,4,2020,2020-04-10,0.020202020202020204,0.8484848484848484,0.13131313131313138
2019-12-07,5,2020,2020-05-10,0.0,0.8787878787878788,0.12121212121212122
2019-12-21,12,2019,2019-12-10,0.0,0.0,1.0
2019-12-21,1,2020,2020-01-10,0.0,0.5050505050505051,0.4949494949494949
2019-12-21,2,2020,2020-02-10,0.0,0.5555555555555556,0.4444444444444444
2019-12-21,3,2020,2020-03-10,0.0,0.5555555555555556,0.4444444444444444
2019-12-21,4,2020,2020-04-10,0.010101010101010102,0.6363636363636364,0.3535353535353536
2019-12-21,5,2020,2020-05-10,0.0,0.8181818181818181,0.18181818181818188
2019-12-21,6,2020,2020-06-10,0.0,0.7474747474747475,0.2525252525252525
2020-01-04,12,2019,2019-12-10,0.0,0.0,1.0
2020-01-04,1,2020,2020-01-10,0.0,0.2828282828282828,0.7171717171717171
2020-01-04,2,2020,2020-02-10,0.0,0.6565656565656566,0.3434343434343434
2020-01-04,3,2020,2020-03-10,0.0,0.4343434343434343,0.5656565656565657
2020-01-04,4,2020,2020-04-10,0.0,0.595959595959596,0.404040404040404
2020-01-04,5,2020,2020-05-10,0.0,0.7373737373737375,0.26262626262626254
2020-01-04,6,2020,2020-06-10,0.0,0.6767676767676768,0.3232323232323232
2020-01-18,1,2020,2020-01-10,0.0,0.0,1.0
2020-01-18,2,2020,2020-02-10,0.0,0.5656565656565656,0.43434343434343436
2020-01-18,3,2020,2020-03-10,0.0,0.3535353535353536,0.6464646464646464
2020-01-18,4,2020,2020-04-10,0.010101010101010102,0.6262626262626262,0.36363636363636376
2020-01-18,5,2020,2020-05-10,0.020202020202020204,0.8282828282828283,0.1515151515151515
2020-01-18,6,2020,2020-06-10,0.010101010101010102,0.8282828282828283,0.16161616161616166
2020-02-01,1,2020,2020-01-10,0.0,0.0,1.0
2020-02-01,2,2020,2020-02-10,0.0,0.8585858585858586,0.14141414141414144
2020-02-01,3,2020,2020-03-10,0.0,0.5454545454545454,0.4545454545454546
2020-02-01,4,2020,2020-04-10,0.0,0.5151515151515151,0.48484848484848486
2020-02-01,5,2020,2020-05-10,0.0,0.8181818181818181,0.18181818181818188
2020-02-01,6,2020,2020-06-10,0.0,0.7979797979797979,0.2020202020202021
2020-02-01,7,2020,2020-07-10,0.0,0.8383838383838383,0.16161616161616166
2020-02-15,2,2020,2020-02-10,0.0,0.0,1.0
2020-02-15,3,2020,2020-03-10,0.0,0.6464646464646465,0.3535353535353535
2020-02-15,4,2020,2020-04-10,0.0,0.5656565656565656,0.43434343434343436
2020-02-15,5,2020,2020-05-10,0.050505050505050504,0.8686868686868686,0.08080808080808088
2020-02-15,6,2020,2020-06-10,0.010101010101010102,0.9494949494949495,0.04040404040404044
2020-02-15,7,2020,2020-07-10,0.020202020202020204,0.9292929292929293,0.0505050505050505
2020-02-29,2,2020,2020-02-10,0.0,0.0,1.0
2020-02-29,3,2020,2020-03-10,0.0,0.7878787878787878,0.21212121212121215
2020-02-29,4,2020,2020-04-10,0.0,0.6161616161616162,0.38383838383838376
2020-02-29,5,2020,2020-05-10,0.0,0.9494949494949495,0.0505050505050505
2020-02-29,6,2020,2020-06-10,0.020202020202020204,0.9494949494949495,0.030303030303030276
2020-02-29,7,2020,2020-07-10,0.050505050505050504,0.9494949494949495,0.0
2020-02-29,8,2020,2020-08-10,0.0707070707070707,0.9292929292929293,0.0
2020-03-14,3,2020,2020-03-10,0.0,0.0,1.0
2020-03-14,4,2020,2020-04-10,0.0,0.41414141414141414,0.5858585858585859
2020-03-14,5,2020,2020-05-10,0.0,0.7474747474747475,0.2525252525252525
2020-03-14,6,2020,2020-06-10,0.0,0.9393939393939393,0.06060606060606066
2020-03-14,7,2020,2020-07-10,0.08080808080808081,0.8686868686868686,0.05050505050505061
2020-03-14,8,2020,2020-08-10,0.1111111111111111,0.8282828282828283,0.06060606060606055
2020-03-28,3,2020,2020-03-10,0.0,0.0,1.0
2020-03-28,4,2020,2020-04-10,0.0,0.26262626262626265,0.7373737373737373
2020-03-28,5,2020,2020-05-10,0.0,0.8484848484848484,0.1515151515151516
2020-03-28,6,2020,2020-06-10,0.0,1.0,0.0
2020-03-28,7,2020,2020-07-10,0.16161616161616163,0.8383838383838383,0.0
2020-03-28,8,2020,2020-08-10,0.3535353535353536,0.6464646464646465,-1.1102230246251565e-16
2020-03-28,9,2020,2020-09-10,0.37373737373737376,0.6262626262626262,1.1102230246251565e-16
2020-04-11,4,2020,2020-04-10,0.0,0.0,1.0
2020-04-11,5,2020,2020-05-10,0.0,0.8888888888888888,0.11111111111111116
2020-04-11,6,2020,2020-06-10,0.010101010101010102,0.9797979797979798,0.010101010101010166
2020-04-11,7,2020,2020-07-10,0.2727272727272727,0.7272727272727273,0.0
2020-04-11,8,2020,2020-08-10,0.45454545454545453,0.5454545454545454,0.0
2020-04-11,9,2020,2020-09-10,0.48484848484848486,0.5151515151515151,0.0
2020-04-25,4,2020,2020-04-10,0.0,0.0,1.0
2020-04-25,5,2020,2020-05-10,0.0,1.0,0.0
2020-04-25,6,2020,2020-06-10,0.010101010101010102,0.98989898989899,0.0
2020-04-25,7,2020,2020-07-10,0.20202020202020202,0.7979797979797979,1.1102230246251565e-16
2020-04-25,8,2020,2020-08-10,0.37373737373737376,0.6262626262626262,1.1102230246251565e-16
2020-04-25,9,2020,2020-09-10,0.3838383838383838,0.6161616161616162,-1.1102230246251565e-16
2020-04-25,10,2020,2020-10-10,0.4343434343434343,0.5656565656565656,1.1102230246251565e-16
2020-05-09,5,2020,2020-05-10,0.0,0.0,1.0
2020-05-09,6,2020,2020-06-10,0.0,1.0,0.0
2020-05-09,7,2020,2020-07-10,0.0707070707070707,0.9292929292929293,0.0
2020-05-09,8,2020,2020-08-10,0.3838383838383838,0.6161616161616162,-1.1102230246251565e-16
2020-05-09,9,2020,2020-09-10,0.494949494949495,0.5050505050505051,-1.1102230246251565e-16
2020-05-09,10,2020,2020-10-10,0.595959595959596,0.40404040404040403,-5.551115123125783e-17
2020-05-23,5,2020,2020-05-10,0.0,0.0,1.0
2020-05-23,6,2020,2020-06-10,0.0,1.0,0.0
2020-05-23,7,2020,2020-07-10,0.16161616161616163,0.8383838383838383,0.0
2020-05-23,8,2020,2020-08-10,0.23232323232323232,0.7676767676767676,1.1102230246251565e-16
2020-05-23,9,2020,2020-09-10,0.4343434343434343,0.5656565656565656,1.1102230246251565e-16
2020-05-23,10,2020,2020-10-10,0.5555555555555556,0.4444444444444444,0.0
