memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
AT,Austria,2013,May,Bull,9.47,24.23,390.84
AT,Austria,2013,April,Bull,9.5,24.34,390.3
AT,Austria,2013,March,Bull,9.15,23.4,391.03
AT,Austria,2013,February,Bull,8.51,21.79,390.55
AT,Austria,2013,January,Bull,9.37,24.09,388.96
AT,Austria,2012,December,Bull,9.41,24.24,388.2
AT,Austria,2012,November,Bull,9.13,23.51,388.35
AT,Austria,2012,October,Bull,10.38,26.83,386.88
AT,Austria,2012,September,Bull,9.38,24.21,387.44
AT,Austria,2012,August,Bull,8.19,21.21,386.14
AT,Austria,2012,July,Bull,9.09,23.49,386.97
AT,Austria,2012,June,Bull,8.62,22.29,386.72
AT,Austria,2012,May,Bull,9.2,23.7,388.19
AT,Austria,2012,April,Bull,8.58,22.1,388.24
AT,Austria,2012,March,Bull,9.56,24.59,388.78
AT,Austria,2012,February,Bull,8.03,20.71,387.74
AT,Austria,2012,January,Bull,8.64,22.3,387.44
AT,Austria,2011,December,Bull,9.93,25.86,383.99
AT,Austria,2011,November,Bull,10.09,26.28,383.94
AT,Austria,2011,October,Bull,9.51,24.99,380.55
AT,Austria,2011,September,Bull,9.27,24.24,382.43
AT,Austria,2011,August,Bull,9.87,25.78,382.85
AT,Austria,2011,July,Bull,8.47,22.18,381.88
AT,Austria,2011,June,Bull,8.83,22.93,385.09
AT,Austria,2011,May,Bull,9.76,25.67,380.21
AT,Austria,2011,April,Bull,8.95,23.28,384.45
AT,Austria,2011,March,Bull,9.21,24.21,380.42
AT,Austria,2011,February,Bull,8.01,21.01,381.25
AT,Austria,2011,January,Bull,8.77,22.91,382.8
AT,Austria,2010,December,Bull,10.2,26.91,379.04
AT,Austria,2010,November,Bull,10.68,28.03,381.02
AT,Austria,2010,October,Bull,9.48,24.84,381.64
AT,Austria,2010,September,Bull,9.21,24.02,383.43
AT,Austria,2010,August,Bull,10.1,26.38,382.87
AT,Austria,2010,July,Bull,7.85,20.66,379.96
AT,Austria,2010,June,Bull,9.77,25.56,382.24
AT,Austria,2010,May,Bull,9.69,25.36,382.1
AT,Austria,2010,April,Bull,9.03,23.62,382.3
AT,Austria,2010,March,Bull,10.14,26.56,381.78
AT,Austria,2010,February,Bull,7.87,20.55,382.97
AT,Austria,2010,January,Bull,8.05,21.13,380.97
AT,Austria,2009,December,Bull,10.36,27.26,380.04
AT,Austria,2009,November,Bull,10.25,27.16,377.39
AT,Austria,2009,October,Bull,8.93,23.69,376.95
AT,Austria,2009,September,Bull,10.52,27.63,380.75
AT,Austria,2009,August,Bull,9.05,23.73,381.37
AT,Austria,2009,July,Bull,8.85,23.2,381.47
AT,Austria,2009,June,Bull,10.06,26.3,382.51
AT,Austria,2009,May,Bull,8.71,22.82,381.68
AT,Austria,2009,April,Bull,8.88,23.38,379.81
