DATE,GLOBAL_CURNCY_MXN
2003-09-09,10.972
2003-09-10,10.9213
2003-09-11,11.0063
2003-09-12,10.9795
2003-09-15,10.9575
2003-09-16,10.8793
2003-09-17,10.9115
2003-09-18,10.9172
2003-09-19,10.885
2003-09-22,10.757
2003-09-23,10.8568
2003-09-24,10.7805
2003-09-25,10.8738
2003-09-26,11.0153
2003-09-29,10.9788
2003-09-30,10.986
2003-10-01,11.0275
2003-10-02,11.1645
2003-10-03,11.2405
2003-10-06,11.3023
2003-10-07,11.245
2003-10-08,11.3
2003-10-09,11.2355
2003-10-10,11.1783
2003-10-13,11.2208
2003-10-14,11.2098
2003-10-15,11.2085
2003-10-16,11.287
2003-10-17,11.2233
2003-10-20,11.1213
2003-10-21,11.1488
2003-10-22,11.2443
2003-10-23,11.167
2003-10-24,11.1548
2003-10-27,11.096
2003-10-28,11.0595
2003-10-29,11.091
2003-10-30,11.0425
2003-10-31,11.0175
2003-11-03,10.985
2003-11-04,10.9963
2003-11-05,10.9775
2003-11-06,10.9538
2003-11-07,10.9875
2003-11-10,10.945
2003-11-11,10.9778
2003-11-12,11.122
2003-11-13,11.1485
2003-11-14,11.1433
2003-11-17,11.1575
2003-11-18,11.2435
2003-11-19,11.1855
2003-11-20,11.205
2003-11-21,11.233
2003-11-24,11.2878
2003-11-25,11.3114
2003-11-26,11.352
2003-11-27,11.345
2003-11-28,11.3785
2003-12-01,11.3735
2003-12-02,11.3025
2003-12-03,11.2613
2003-12-04,11.2185
2003-12-05,11.2075
2003-12-08,11.2295
2003-12-09,11.1779
2003-12-10,11.235
2003-12-11,11.1375
2003-12-12,11.2508
2003-12-15,11.2895
2003-12-16,11.2655
2003-12-17,11.2453
2003-12-18,11.2425
2003-12-19,11.2498
2003-12-22,11.2975
2003-12-23,11.275
2003-12-24,11.2672
2003-12-25,11.2685
2003-12-26,11.2125
2003-12-29,11.2425
2003-12-30,11.2285
2003-12-31,11.2285
2004-01-01,11.218
2004-01-02,11.082
2004-01-05,11.0045
2004-01-06,10.9217
2004-01-07,10.8935
2004-01-08,10.8667
2004-01-09,10.8178
2004-01-12,10.8235
2004-01-13,10.86
2004-01-14,10.8443
2004-01-15,10.8508
2004-01-16,10.825
2004-01-19,10.8073
2004-01-20,10.8871
2004-01-21,10.9895
2004-01-22,11.0726
2004-01-23,10.8938
2004-01-26,10.91
2004-01-27,10.9375
2004-01-28,11.001
2004-01-29,11.1173
2004-01-30,11.0614
2004-02-02,11.0205
2004-02-03,11.119
2004-02-04,11.1797
2004-02-05,11.176
2004-02-06,11.1125
2004-02-09,11.1175
2004-02-10,11.1185
2004-02-11,10.9758
2004-02-12,10.96
2004-02-13,10.935
2004-02-16,10.9408
2004-02-17,10.9027
2004-02-18,10.984
2004-02-19,10.9505
2004-02-20,10.9432
2004-02-23,11.0475
2004-02-24,11.0815
2004-02-25,11.0565
2004-02-26,11.06
2004-02-27,11.065
2004-03-01,10.9665
2004-03-02,10.9635
2004-03-03,11.0588
2004-03-04,10.947
2004-03-05,10.9253
2004-03-08,10.965
2004-03-09,10.954
2004-03-10,10.9848
2004-03-11,11.029
2004-03-12,10.957
2004-03-15,11.0118
2004-03-16,11.0365
2004-03-17,10.9653
2004-03-18,10.9758
2004-03-19,10.9675
2004-03-22,10.9815
2004-03-23,10.98
2004-03-24,11.036
2004-03-25,11.0383
2004-03-26,11.109
2004-03-29,11.2213
2004-03-30,11.1925
2004-03-31,11.1251
2004-04-01,11.191
2004-04-02,11.165
2004-04-05,11.147
2004-04-06,11.171
2004-04-07,11.2475
2004-04-08,11.2198
2004-04-09,11.2
2004-04-12,11.2357
2004-04-13,11.25
2004-04-14,11.3048
2004-04-15,11.2608
2004-04-16,11.2698
2004-04-19,11.25
2004-04-20,11.337
2004-04-21,11.3088
2004-04-22,11.337
2004-04-23,11.3225
2004-04-26,11.2803
2004-04-27,11.2805
2004-04-28,11.397
2004-04-29,11.4435
2004-04-30,11.4198
2004-05-03,11.4673
2004-05-04,11.4223
2004-05-05,11.4025
2004-05-06,11.4378
2004-05-07,11.5845
2004-05-10,11.6698
2004-05-11,11.5793
2004-05-12,11.6032
2004-05-13,11.6333
2004-05-14,11.5297
2004-05-17,11.517
2004-05-18,11.5465
2004-05-19,11.554
2004-05-20,11.572
2004-05-21,11.5705
2004-05-24,11.4888
2004-05-25,11.4768
2004-05-26,11.4643
2004-05-27,11.4128
2004-05-28,11.4
2004-05-31,11.452
2004-06-01,11.4675
2004-06-02,11.4668
2004-06-03,11.4472
2004-06-04,11.4122
2004-06-07,11.358
2004-06-08,11.349
2004-06-09,11.3725
2004-06-10,11.3555
2004-06-11,11.3748
2004-06-14,11.465
2004-06-15,11.388
2004-06-16,11.359
2004-06-17,11.351
2004-06-18,11.3421
2004-06-21,11.3098
2004-06-22,11.3197
2004-06-23,11.3333
2004-06-24,11.3223
2004-06-25,11.344
2004-06-28,11.4915
2004-06-29,11.5102
2004-06-30,11.4865
2004-07-01,11.5298
2004-07-02,11.4495
2004-07-05,11.4448
2004-07-06,11.4705
2004-07-07,11.4933
2004-07-08,11.531
2004-07-09,11.4919
2004-07-12,11.5033
2004-07-13,11.4725
2004-07-14,11.4491
2004-07-15,11.4891
2004-07-16,11.4138
2004-07-19,11.3755
2004-07-20,11.416
2004-07-21,11.4758
2004-07-22,11.4303
2004-07-23,11.449
2004-07-26,11.4938
2004-07-27,11.482
2004-07-28,11.4312
2004-07-29,11.4179
2004-07-30,11.4152
2004-08-02,11.4092
2004-08-03,11.4217
2004-08-04,11.4503
2004-08-05,11.4345
2004-08-06,11.3995
2004-08-09,11.4053
2004-08-10,11.423
2004-08-11,11.42
2004-08-12,11.4293
2004-08-13,11.38
2004-08-16,11.3713
2004-08-17,11.334
2004-08-18,11.359
2004-08-19,11.357
2004-08-20,11.3315
2004-08-23,11.411
2004-08-24,11.3722
2004-08-25,11.365
2004-08-26,11.3605
2004-08-27,11.3915
2004-08-30,11.406
2004-08-31,11.389
2004-09-01,11.436
2004-09-02,11.517
2004-09-03,11.4975
2004-09-06,11.5755
2004-09-07,11.5926
2004-09-08,11.5858
2004-09-09,11.5855
2004-09-10,11.5935
2004-09-13,11.561
2004-09-14,11.5611
2004-09-15,11.523
2004-09-16,11.5028
2004-09-17,11.4585
2004-09-20,11.4593
2004-09-21,11.4108
2004-09-22,11.4223
2004-09-23,11.3968
2004-09-24,11.418
2004-09-27,11.4323
2004-09-28,11.43
2004-09-29,11.4185
2004-09-30,11.382
2004-10-01,11.337
2004-10-04,11.3067
2004-10-05,11.272
2004-10-06,11.2878
2004-10-07,11.2698
2004-10-08,11.2453
2004-10-11,11.2338
2004-10-12,11.2561
2004-10-13,11.279
2004-10-14,11.387
2004-10-15,11.4538
2004-10-18,11.4585
2004-10-19,11.4433
2004-10-20,11.482
2004-10-21,11.446
2004-10-22,11.513
2004-10-25,11.5373
2004-10-26,11.5038
2004-10-27,11.5185
2004-10-28,11.525
2004-10-29,11.5363
2004-11-01,11.535
2004-11-02,11.45
2004-11-03,11.4377
2004-11-04,11.4173
2004-11-05,11.3813
2004-11-08,11.4295
2004-11-09,11.4445
2004-11-10,11.4235
2004-11-11,11.4185
2004-11-12,11.3575
2004-11-15,11.3775
2004-11-16,11.37
2004-11-17,11.3023
2004-11-18,11.34
2004-11-19,11.3883
2004-11-22,11.3673
2004-11-23,11.335
2004-11-24,11.285
2004-11-25,11.268
2004-11-26,11.2538
2004-11-29,11.262
2004-11-30,11.224
2004-12-01,11.129
2004-12-02,11.1723
2004-12-03,11.098
2004-12-06,11.1527
2004-12-07,11.2056
2004-12-08,11.2393
2004-12-09,11.265
2004-12-10,11.3418
2004-12-13,11.2612
2004-12-14,11.2583
2004-12-15,11.177
2004-12-16,11.2615
2004-12-17,11.22
2004-12-20,11.1598
2004-12-21,11.1818
2004-12-22,11.146
2004-12-23,11.1543
2004-12-24,11.106
2004-12-27,11.1624
2004-12-28,11.2305
2004-12-29,11.2493
2004-12-30,11.162
2004-12-31,11.147
2005-01-03,11.23
2005-01-04,11.3753
2005-01-05,11.3558
2005-01-06,11.3818
2005-01-07,11.2753
2005-01-10,11.2455
2005-01-11,11.212
2005-01-12,11.163
2005-01-13,11.2183
2005-01-14,11.22
2005-01-17,11.2285
2005-01-18,11.249
2005-01-19,11.2253
2005-01-20,11.292
2005-01-21,11.2435
2005-01-24,11.2438
2005-01-25,11.2998
2005-01-26,11.26
2005-01-27,11.2748
2005-01-28,11.2455
2005-01-31,11.187
2005-02-01,11.174
2005-02-02,11.1428
2005-02-03,11.162
2005-02-04,11.142
2005-02-07,11.181
2005-02-08,11.2025
2005-02-09,11.1596
2005-02-10,11.152
2005-02-11,11.1497
2005-02-14,11.1575
2005-02-15,11.1721
2005-02-16,11.1463
2005-02-17,11.0762
2005-02-18,11.0775
2005-02-21,11.0735
2005-02-22,11.0883
2005-02-23,11.093
2005-02-24,11.1268
2005-02-25,11.1008
2005-02-28,11.0914
2005-03-01,11.103
2005-03-02,11.087
2005-03-03,11.1155
2005-03-04,11.033
2005-03-07,11.016
2005-03-08,10.9853
2005-03-09,11.0123
2005-03-10,11.0335
2005-03-11,11.0633
2005-03-14,11.161
2005-03-15,11.203
2005-03-16,11.2275
2005-03-17,11.1895
2005-03-18,11.1625
2005-03-21,11.2528
2005-03-22,11.249
2005-03-23,11.2755
2005-03-24,11.2701
2005-03-25,11.2645
2005-03-28,11.305
2005-03-29,11.2678
2005-03-30,11.222
2005-03-31,11.1703
2005-04-01,11.1658
2005-04-04,11.198
2005-04-05,11.2445
2005-04-06,11.215
2005-04-07,11.1825
2005-04-08,11.1308
2005-04-11,11.0985
