DATE,US_SOY_NET_LONG
2009-09-08,46036.0
2009-09-15,47475.0
2009-09-22,32384.0
2009-09-29,32695.0
2009-10-06,30878.0
2009-10-13,60763.0
2009-10-20,70132.0
2009-10-27,74465.0
2009-11-03,91472.0
2009-11-10,77474.0
2009-11-17,91111.0
2009-11-24,111410.0
2009-12-01,116292.0
2009-12-08,116917.0
2009-12-15,119467.0
2009-12-22,91119.0
2009-12-29,75650.0
2010-01-05,87809.0
2010-01-12,62359.0
2010-01-19,50140.0
2010-01-26,39096.0
2010-02-02,29270.0
2010-02-09,5152.0
2010-02-16,19603.0
2010-02-23,14792.0
2010-03-02,12140.0
2010-03-09,2286.0
2010-03-16,-3433.0
2010-03-23,27476.0
2010-03-30,30643.0
2010-04-06,8221.0
2010-04-13,29228.0
2010-04-20,56292.0
2010-04-27,68099.0
2010-05-04,66948.0
2010-05-11,47325.0
2010-05-18,33219.0
2010-05-25,24706.0
2010-06-01,23067.0
2010-06-08,17467.0
2010-06-15,31360.0
2010-06-22,43921.0
2010-06-29,24451.0
2010-07-06,13023.0
2010-07-13,63536.0
2010-07-20,95495.0
2010-07-27,90151.0
2010-08-03,111655.0
2010-08-10,128074.0
2010-08-17,135794.0
2010-08-24,139374.0
2010-08-31,140040.0
2010-09-07,142447.0
2010-09-14,146406.0
2010-09-21,163087.0
2010-09-28,180199.0
2010-10-05,167295.0
2010-10-12,172954.0
2010-10-19,197151.0
2010-10-26,201843.0
2010-11-02,206823.0
2010-11-09,204912.0
2010-11-16,194654.0
2010-11-23,199278.0
2010-11-30,203255.0
2010-12-07,208529.0
2010-12-14,211599.0
2010-12-21,216029.0
2010-12-28,228273.0
2011-01-04,218416.0
2011-01-11,218777.0
2011-01-18,225588.0
2011-01-25,213196.0
2011-02-01,218809.0
2011-02-08,224747.0
2011-02-15,206790.0
2011-02-22,175942.0
2011-03-01,164840.0
2011-03-08,178533.0
2011-03-15,164934.0
2011-03-22,170353.0
2011-03-29,165562.0
2011-04-05,166733.0
2011-04-12,151479.0
2011-04-19,137798.0
2011-04-26,132724.0
2011-05-03,127916.0
2011-05-10,114352.0
2011-05-17,111723.0
2011-05-24,120151.0
2011-05-31,124869.0
2011-06-07,134181.0
2011-06-14,119811.0
2011-06-21,104072.0
2011-06-28,81944.0
2011-07-05,80469.0
2011-07-12,93898.0
2011-07-19,133312.0
2011-07-26,135675.0
2011-08-02,118778.0
2011-08-09,95195.0
2011-08-16,108173.0
2011-08-23,146768.0
2011-08-30,197684.0
2011-09-06,199241.0
2011-09-13,182560.0
2011-09-20,151915.0
2011-09-27,120157.0
2011-10-04,110571.0
2011-10-11,102360.0
2011-10-18,110594.0
2011-10-25,64319.0
2011-11-01,52699.0
2011-11-08,45391.0
2011-11-15,24560.0
2011-11-22,11400.0
2011-11-29,11063.0
2011-12-06,8586.0
2011-12-13,19909.0
2011-12-20,23905.0
2011-12-27,29009.0
2012-01-03,39411.0
2012-01-10,48650.0
2012-01-17,43152.0
2012-01-24,52242.0
2012-01-31,55388.0
2012-02-07,73662.0
2012-02-14,91599.0
2012-02-21,107029.0
2012-02-28,126557.0
2012-03-06,160509.0
2012-03-13,172756.0
2012-03-20,200011.0
2012-03-27,212427.0
2012-04-03,235857.0
2012-04-10,231181.0
2012-04-17,233405.0
2012-04-24,249342.0
2012-05-01,258743.0
2012-05-08,249923.0
2012-05-15,242822.0
2012-05-22,244887.0
2012-05-29,236310.0
2012-06-05,213696.0
2012-06-12,233926.0
2012-06-19,233641.0
2012-06-26,237482.0
2012-07-03,260433.0
2012-07-10,257822.0
2012-07-17,259612.0
2012-07-24,255959.0
2012-07-31,243126.0
2012-08-07,232277.0
2012-08-14,230298.0
2012-08-21,249104.0
2012-08-28,224380.0
2012-09-04,232645.0
2012-09-11,229815.0
2012-09-18,217037.0
2012-09-25,217686.0
