DATE,BR_TTEN3_PRICE
2023-11-07,10.63
2023-11-08,10.58
2023-11-09,10.62
2023-11-10,10.9
2023-11-13,10.96
2023-11-14,11.55
2023-11-16,11.47
2023-11-17,11.5
2023-11-20,11.88
2023-11-21,11.3
2023-11-22,11.25
2023-11-23,11.2
2023-11-24,10.89
2023-11-27,11.11
2023-11-28,11.36
2023-11-29,11.17
2023-11-30,11.3
2023-12-01,11.2
2023-12-04,10.76
2023-12-05,10.8
2023-12-06,10.63
2023-12-07,11.04
2023-12-08,10.8
2023-12-11,10.67
2023-12-12,10.68
2023-12-13,10.78
2023-12-14,10.78
2023-12-15,11.14
2023-12-18,11.22
2023-12-19,11.34
2023-12-20,11.4
2023-12-21,11.58
2023-12-22,11.75
2023-12-26,11.77
2023-12-27,11.84
2023-12-28,12.04
2024-01-02,10.91
2024-01-03,11.17
2024-01-04,10.99
2024-01-05,11.05
2024-01-08,11.3
2024-01-09,10.96
2024-01-10,10.96
2024-01-11,10.71
2024-01-12,10.97
2024-01-15,10.93
2024-01-16,11.5
2024-01-17,11.75
2024-01-18,11.46
2024-01-19,11.39
2024-01-22,11.07
2024-01-23,11.32
2024-01-24,11.12
2024-01-25,11.07
2024-01-26,11.09
2024-01-29,10.94
2024-01-30,10.95
2024-01-31,11.02
2024-02-01,10.61
2024-02-02,10.57
2024-02-05,10.65
2024-02-06,10.57
2024-02-07,10.51
2024-02-08,10.02
2024-02-09,9.68
2024-02-14,9.64
2024-02-15,9.77
2024-02-16,9.63
2024-02-19,9.57
2024-02-20,9.95
2024-02-21,9.65
2024-02-22,9.81
2024-02-23,9.88
2024-02-26,9.82
2024-02-27,10.45
2024-02-28,10.66
2024-02-29,10.63
2024-03-01,10.72
2024-03-04,10.85
2024-03-05,10.9
2024-03-06,10.65
2024-03-07,10.63
2024-03-08,10.57
2024-03-11,10.56
2024-03-12,10.62
2024-03-13,10.9
2024-03-14,10.58
2024-03-15,10.6
2024-03-18,10.75
2024-03-19,10.8
2024-03-20,11.0
2024-03-21,11.03
2024-03-22,10.87
2024-03-25,10.88
2024-03-26,10.6
2024-03-27,10.51
2024-03-28,10.52
2024-04-01,10.49
2024-04-02,10.3
2024-04-03,10.21
2024-04-04,10.36
2024-04-05,10.31
2024-04-08,10.43
2024-04-09,10.69
2024-04-10,10.49
2024-04-11,10.45
2024-04-12,10.21
2024-04-15,9.96
2024-04-16,9.71
2024-04-17,9.76
2024-04-18,9.78
2024-04-19,9.75
2024-04-22,9.73
2024-04-23,9.9
2024-04-24,9.99
2024-04-25,9.99
2024-04-26,10.08
2024-04-29,10.3
2024-04-30,10.12
2024-05-02,10.17
2024-05-03,9.94
2024-05-06,9.5
2024-05-07,9.38
2024-05-08,9.2
2024-05-09,10.4
2024-05-10,10.1
2024-05-13,9.98
2024-05-14,9.82
2024-05-15,9.99
2024-05-16,10.22
2024-05-17,10.22
2024-05-20,10.35
2024-05-21,10.31
2024-05-22,10.12
2024-05-23,10.04
2024-05-24,9.95
2024-05-27,9.97
2024-05-28,9.85
2024-05-29,9.73
2024-05-31,9.73
2024-06-03,9.88
2024-06-04,9.79
2024-06-05,9.55
2024-06-06,9.7
2024-06-07,9.65
2024-06-10,9.73
2024-06-11,9.82
2024-06-12,9.94
2024-06-13,9.95
2024-06-14,9.98
2024-06-17,9.87
2024-06-18,10.13
2024-06-19,9.91
2024-06-20,9.95
2024-06-21,10.05
2024-06-24,10.03
2024-06-25,9.75
2024-06-26,9.74
2024-06-27,10.07
2024-06-28,9.88
2024-07-01,10.23
2024-07-02,10.21
2024-07-03,10.2
2024-07-04,10.49
2024-07-05,10.65
2024-07-08,10.54
2024-07-09,10.6
2024-07-10,10.5
2024-07-11,10.57
2024-07-12,10.7
2024-07-15,10.92
2024-07-16,10.88
2024-07-17,10.9
2024-07-18,10.8
2024-07-19,10.85
2024-07-22,10.99
2024-07-23,10.68
2024-07-24,10.73
2024-07-25,10.76
2024-07-26,11.04
2024-07-29,10.67
2024-07-30,10.6
2024-07-31,10.68
2024-08-01,10.4
2024-08-02,10.52
2024-08-05,10.29
2024-08-06,10.15
2024-08-07,10.3
2024-08-08,10.54
2024-08-09,10.74
2024-08-12,10.46
2024-08-13,11.6
2024-08-14,11.56
2024-08-15,12.08
2024-08-16,12.36
2024-08-19,12.77
2024-08-20,12.69
2024-08-21,12.24
2024-08-22,12.05
2024-08-23,12.1
2024-08-26,12.2
2024-08-27,12.32
2024-08-28,12.19
2024-08-29,11.93
2024-08-30,11.97
2024-09-02,12.08
2024-09-03,11.99
2024-09-04,11.81
2024-09-05,11.87
2024-09-06,11.98
2024-09-09,12.24
2024-09-10,12.44
2024-09-11,12.5
2024-09-12,12.27
2024-09-13,12.42
2024-09-16,12.49
2024-09-17,12.45
2024-09-18,11.94
2024-09-19,11.9
2024-09-20,11.8
2024-09-23,11.55
2024-09-24,11.52
2024-09-25,11.35
2024-09-26,11.5
2024-09-27,11.47
2024-09-30,11.32
2024-10-01,11.04
2024-10-02,10.91
2024-10-03,10.97
2024-10-04,10.98
2024-10-07,10.99
2024-10-08,11.07
2024-10-09,10.78
2024-10-10,10.6
2024-10-11,10.65
2024-10-14,10.57
2024-10-15,10.39
2024-10-16,10.48
2024-10-17,10.52
2024-10-18,10.28
2024-10-21,10.2
2024-10-22,10.22
2024-10-23,10.61
2024-10-24,11.0
2024-10-25,11.18
2024-10-28,11.24
2024-10-29,11.39
2024-10-30,11.31
2024-10-31,11.37
2024-11-01,11.35
2024-11-04,11.65
2024-11-05,11.96
2024-11-06,12.43
2024-11-07,12.01
2024-11-08,11.86
2024-11-11,12.19
2024-11-12,14.18
2024-11-13,13.81
2024-11-14,14.38
2024-11-18,14.25
2024-11-19,14.12
2024-11-21,14.24
2024-11-22,14.35
2024-11-25,14.52
2024-11-26,14.65
2024-11-27,14.1
2024-11-28,13.17
2024-11-29,13.62
2024-12-02,13.59
2024-12-03,13.75
2024-12-04,14.22
2024-12-05,14.34
2024-12-06,14.14
2024-12-09,14.09
2024-12-10,13.87
2024-12-11,14.77
2024-12-12,14.68
2024-12-13,14.87
2024-12-16,14.29
2024-12-17,14.69
2024-12-18,13.98
2024-12-19,14.2
2024-12-20,14.09
2024-12-23,13.57
2024-12-26,13.6
2024-12-27,13.39
2024-12-30,13.74
2025-01-02,13.28
2025-01-03,13.09
2025-01-06,13.33
2025-01-07,13.28
2025-01-08,13.43
2025-01-09,13.9
2025-01-10,13.67
2025-01-13,13.87
2025-01-14,13.9
2025-01-15,14.05
2025-01-16,13.93
2025-01-17,13.89
2025-01-20,14.01
2025-01-21,14.44
2025-01-22,14.85
2025-01-23,14.61
2025-01-24,14.58
2025-01-27,15.3
2025-01-28,15.55
2025-01-29,15.86
2025-01-30,16.1
2025-01-31,15.9
2025-02-03,16.13
2025-02-04,16.22
2025-02-05,15.77
2025-02-06,16.02
2025-02-07,15.87
2025-02-10,16.06
2025-02-11,16.0
2025-02-12,15.42
2025-02-13,15.69
2025-02-14,16.48
2025-02-17,16.64
2025-02-18,15.56
2025-02-19,14.53
2025-02-20,14.73
2025-02-21,14.73
2025-02-24,14.35
2025-02-25,14.93
2025-02-26,14.62
2025-02-27,14.79
2025-02-28,14.68
2025-03-05,14.16
2025-03-06,14.23
2025-03-07,14.45
2025-03-10,14.37
2025-03-11,14.15
2025-03-12,14.04
2025-03-13,14.22
2025-03-14,14.14
2025-03-17,13.92
2025-03-18,14.54
2025-03-19,14.36
2025-03-20,14.24
2025-03-21,14.19
2025-03-24,14.02
2025-03-25,14.19
2025-03-26,14.29
2025-03-27,14.86
2025-03-28,14.32
2025-03-31,14.49
2025-04-01,14.5
2025-04-02,14.24
2025-04-03,14.41
2025-04-04,13.93
2025-04-07,13.98
2025-04-08,14.09
2025-04-09,14.27
