yearRun,MonthRun,Season,LaNinaProb,NeutralProb,ElNinoProb,ForecastDate
2021,6,MJJ,21,79,0,2021-07-01
2021,6,JJA,19,78,3,2021-08-01
2021,6,JAS,27,66,7,2021-09-01
2021,6,ASO,36,57,7,2021-10-01
2021,6,SON,43,50,7,2021-11-01
2021,6,OND,49,44,7,2021-12-01
2021,6,NDJ,53,41,6,2022-01-01
2021,6,DJF,50,44,6,2022-02-01
2021,6,JFM,43,50,7,2022-03-01
2021,7,JJA,17,82,1,2021-08-01
2021,7,JAS,32,64,4,2021-09-01
2021,7,ASO,45,51,4,2021-10-01
2021,7,SON,55,42,3,2021-11-01
2021,7,OND,62,35,3,2021-12-01
2021,7,NDJ,66,31,3,2022-01-01
2021,7,DJF,60,36,4,2022-02-01
2021,7,JFM,54,42,4,2022-03-01
2021,7,FMA,47,49,4,2022-04-01
2021,8,JAS,41,59,0,2021-09-01
2021,8,ASO,53,46,1,2021-10-01
2021,8,SON,62,37,1,2021-11-01
2021,8,OND,67,32,1,2021-12-01
2021,8,NDJ,69,29,2,2022-01-01
2021,8,DJF,64,33,3,2022-02-01
2021,8,JFM,55,41,4,2022-03-01
2021,8,FMA,43,52,5,2022-04-01
2021,8,MAM,30,63,7,2022-05-01
2021,9,ASO,63,37,0,2021-10-01
2021,9,SON,73,27,0,2021-11-01
2021,9,OND,78,22,0,2021-12-01
2021,9,NDJ,79,21,0,2022-01-01
2021,9,DJF,72,27,1,2022-02-01
2021,9,JFM,60,38,2,2022-03-01
2021,9,FMA,48,49,3,2022-04-01
2021,9,MAM,34,61,5,2022-05-01
2021,9,AMJ,22,67,11,2022-06-01
2021,10,SON,93,7,0,2021-11-01
2021,10,OND,93,7,0,2021-12-01
2021,10,NDJ,92,8,0,2022-01-01
2021,10,DJF,87,13,0,2022-02-01
2021,10,JFM,77,23,0,2022-03-01
2021,10,FMA,63,36,1,2022-04-01
2021,10,MAM,43,55,2,2022-05-01
2021,10,AMJ,28,64,8,2022-06-01
2021,10,MJJ,23,63,14,2022-07-01
2021,11,OND,99,1,0,2021-12-01
2021,11,NDJ,97,3,0,2022-01-01
2021,11,DJF,92,8,0,2022-02-01
2021,11,JFM,83,17,0,2022-03-01
2021,11,FMA,69,31,0,2022-04-01
2021,11,MAM,50,49,1,2022-05-01
2021,11,AMJ,33,63,4,2022-06-01
2021,11,MJJ,23,65,12,2022-07-01
2021,11,JJA,21,60,19,2022-08-01
2021,12,NDJ,100,0,0,2022-01-01
2021,12,DJF,95,5,0,2022-02-01
2021,12,JFM,81,19,0,2022-03-01
2021,12,FMA,65,35,0,2022-04-01
2021,12,MAM,50,49,1,2022-05-01
2021,12,AMJ,34,62,4,2022-06-01
2021,12,MJJ,25,63,12,2022-07-01
2021,12,JJA,22,58,20,2022-08-01
2021,12,JAS,22,52,26,2022-09-01
2022,1,DJF,100,0,0,2022-02-01
2022,1,JFM,95,5,0,2022-03-01
2022,1,FMA,83,17,0,2022-04-01
2022,1,MAM,67,33,0,2022-05-01
2022,1,AMJ,48,51,1,2022-06-01
2022,1,MJJ,36,57,7,2022-07-01
2022,1,JJA,30,56,14,2022-08-01
2022,1,JAS,29,49,22,2022-09-01
2022,1,ASO,30,45,25,2022-10-01
2022,2,JFM,100,0,0,2022-03-01
2022,2,FMA,93,7,0,2022-04-01
2022,2,MAM,77,23,0,2022-05-01
2022,2,AMJ,58,42,0,2022-06-01
2022,2,MJJ,42,56,2,2022-07-01
2022,2,JJA,35,57,8,2022-08-01
2022,2,JAS,34,52,14,2022-09-01
2022,2,ASO,35,48,17,2022-10-01
2022,2,SON,34,45,21,2022-11-01
2022,3,FMA,100,0,0,2022-04-01
2022,3,MAM,94,6,0,2022-05-01
2022,3,AMJ,80,20,0,2022-06-01
2022,3,MJJ,65,35,0,2022-07-01
2022,3,JJA,53,45,2,2022-08-01
2022,3,JAS,47,47,6,2022-09-01
2022,3,ASO,45,45,10,2022-10-01
2022,3,SON,45,43,12,2022-11-01
2022,3,OND,44,41,15,2022-12-01
2022,4,MAM,100,0,0,2022-05-01
2022,4,AMJ,89,11,0,2022-06-01
2022,4,MJJ,73,27,0,2022-07-01
2022,4,JJA,59,40,1,2022-08-01
2022,4,JAS,52,44,4,2022-09-01
2022,4,ASO,51,42,7,2022-10-01
2022,4,SON,53,39,8,2022-11-01
2022,4,OND,54,37,9,2022-12-01
2022,4,NDJ,53,37,10,2023-01-01
2022,5,AMJ,100,0,0,2022-06-01
2022,5,MJJ,87,13,0,2022-07-01
2022,5,JJA,69,31,0,2022-08-01
2022,5,JAS,59,39,2,2022-09-01
2022,5,ASO,58,38,4,2022-10-01
2022,5,SON,61,35,4,2022-11-01
2022,5,OND,61,34,5,2022-12-01
2022,5,NDJ,61,34,5,2023-01-01
2022,5,DJF,58,37,5,2023-02-01
2022,6,MJJ,95,5,0,2022-07-01
2022,6,JJA,64,36,0,2022-08-01
2022,6,JAS,52,46,2,2022-09-01
2022,6,ASO,54,43,3,2022-10-01
2022,6,SON,58,39,3,2022-11-01
2022,6,OND,59,37,4,2022-12-01
2022,6,NDJ,58,37,5,2023-01-01
2022,6,DJF,51,43,6,2023-02-01
2022,6,JFM,45,48,7,2023-03-01
2022,7,JJA,74,26,0,2022-08-01
