WeekEnd Date  ,National Prime,National Choice,National Select,National Other,Reg 1-5 Prime,Reg 1-5 Choice,Reg 1-5 Select,Reg 1-5 Other,Reg 6 Prime,Reg 6 Choice,Reg 6 Select,Reg 6 Other,Reg 7-8 Prime,Reg 7-8 Choice,Reg 7-8 Select,Reg 7-8 Other,Region 9-10 Prime,Region 9-10 Choice,Region 9-10 Select,Region 9-10 Other,Nebraska Prime,Nebraska Choice,Nebraska Select,Nebraska Other,Kansas Prime,Kansas Choice,Kansas Select,Kansas Other,Texas Prime,Texas Choice,Texas Select,Texas Other,YG 1,YG 2,YG 3,YG 4,YG 5,YG 1-5,No YG,% Fed Cattle YG,Upper 2/3 Choice,Schedule GLA,Class Total Reg 1-5,Steer Reg 1-5,Heifer Reg 1-5,Dairy Cow Reg 1-5,Other Cow Reg 1-5,Bulls Reg 1-5,Class Total Reg 6,Steer Reg 6,Heifer Reg 6,Dairy Cow Reg 6,Other Cow Reg 6,Bulls Reg 6,Class Total Reg 7-8,Steer Reg 7-8,Heifer Reg 7-8,Dairy Cow Reg 7-8,Other Cow Reg 7-8,Bulls Reg 7-8,Class Total Reg 9-10,Steer Reg 9-10,Heifer Reg 9-10,Dairy Cow Reg 9-10,Other Cow Reg 9-10,Bulls Reg 9-10,Total %,Total Steer %,Total Heifer %,Total Dairy Cow %,Total Other Cow %,Total Bulls %,Total Head,Total Steer Head,Total Heifer Head,Total Dairy Cow Head,Total Other Cow Head,Total Bull Head
11/13/2010,3.64%,59.55%,31.19%,5.62%,8.46%,67.54%,17.60%,6.40%,0.66%,47.78%,45.38%,6.18%,3.89%,61.75%,29.01%,5.35%,2.75%,61.29%,30.66%,5.31%,5.66%,65.68%,23.22%,5.43%,1.99%,56.80%,36.24%,4.97%,0.66%,48.02%,45.62%,5.70%,11.62%,37.27%,37.66%,8.43%,1.16%,96.13%,3.87%,53.91%,,,18.08%,6.58%,0.41%,5.25%,4.97%,0.87%,14.35%,8.15%,1.61%,0.47%,3.64%,0.47%,53.62%,26.95%,23.31%,0.26%,2.72%,0.38%,13.95%,4.86%,4.16%,3.30%,1.33%,0.29%,100.00%,46.54%,29.49%,9.28%,12.66%,2.02%,653800.0,304300.0,192800.0,60700.0,82800.0,13200.0
11/20/2010,3.52%,58.91%,32.12%,5.45%,9.72%,67.10%,16.61%,6.57%,0.61%,48.42%,45.49%,5.48%,3.50%,60.30%,30.92%,5.28%,2.71%,62.90%,29.16%,5.23%,5.59%,64.04%,24.72%,5.65%,1.71%,55.45%,37.93%,4.92%,0.59%,48.21%,45.80%,5.40%,11.92%,37.58%,37.91%,7.97%,1.07%,96.45%,3.55%,53.25%,,,17.69%,6.34%,0.46%,5.19%,4.82%,0.88%,15.64%,9.87%,1.45%,0.50%,3.38%,0.43%,53.01%,26.94%,22.63%,0.25%,2.82%,0.37%,13.65%,4.59%,4.44%,2.64%,1.74%,0.25%,100.00%,47.73%,28.98%,8.59%,12.76%,1.93%,673800.0,321600.0,195300.0,57900.0,86000.0,13000.0
11/27/2010,3.46%,60.49%,31.10%,4.95%,9.45%,68.55%,16.80%,5.20%,0.70%,49.79%,45.20%,4.31%,3.37%,61.76%,29.78%,5.09%,2.77%,64.31%,27.86%,5.06%,4.94%,66.76%,22.96%,5.34%,1.95%,57.06%,36.03%,4.95%,0.64%,49.88%,45.44%,4.03%,10.73%,36.31%,37.58%,7.89%,1.02%,93.54%,6.46%,52.49%,,,16.68%,6.80%,0.33%,4.48%,4.36%,0.70%,15.47%,10.09%,1.49%,0.47%,3.01%,0.40%,54.20%,28.01%,22.72%,0.19%,2.96%,0.32%,13.66%,5.13%,3.75%,2.86%,1.70%,0.23%,100.00%,50.03%,28.29%,8.00%,12.03%,1.65%,570900.0,285600.0,161500.0,45700.0,68700.0,9400.0
12/4/2010,3.16%,58.87%,32.76%,5.21%,9.11%,65.82%,18.57%,6.50%,0.56%,48.08%,46.66%,4.70%,3.12%,60.90%,30.84%,5.14%,2.67%,61.63%,30.25%,5.45%,4.84%,65.71%,24.13%,5.32%,1.62%,56.56%,37.16%,4.66%,0.53%,48.17%,46.89%,4.40%,10.92%,38.36%,38.81%,7.59%,0.90%,96.59%,3.41%,53.59%,,,17.30%,6.62%,0.37%,5.24%,4.32%,0.74%,15.00%,9.40%,1.42%,0.61%,3.17%,0.40%,53.82%,26.92%,23.31%,0.25%,3.04%,0.30%,13.88%,4.86%,4.50%,2.96%,1.39%,0.16%,100.00%,47.81%,29.61%,9.06%,11.93%,1.60%,675220.0,322800.0,199900.0,61200.0,80520.0,10800.0
12/11/2010,3.41%,60.94%,30.68%,4.96%,9.22%,67.28%,17.13%,6.37%,0.53%,48.72%,45.77%,4.98%,3.40%,63.75%,28.12%,4.72%,2.75%,61.08%,31.31%,4.86%,5.28%,67.33%,22.41%,4.99%,2.06%,60.81%,32.97%,4.16%,0.52%,48.91%,46.01%,4.55%,10.69%,38.42%,38.77%,7.62%,0.89%,96.40%,3.60%,55.02%,,,17.89%,6.88%,0.41%,5.20%,4.60%,0.81%,15.00%,9.12%,1.49%,0.65%,3.27%,0.48%,54.47%,27.75%,23.17%,0.29%,2.88%,0.38%,12.64%,4.90%,3.48%,2.87%,1.20%,0.20%,100.00%,48.64%,28.55%,9.00%,11.95%,1.86%,665900.0,323900.0,190100.0,59900.0,79600.0,12400.0
12/18/2010,3.51%,62.02%,29.83%,4.64%,8.35%,68.32%,17.24%,6.09%,0.66%,49.47%,44.82%,5.05%,3.69%,65.06%,26.92%,4.34%,3.14%,62.43%,30.38%,4.06%,5.77%,68.05%,21.91%,4.28%,1.86%,62.00%,32.12%,4.02%,0.66%,50.34%,44.48%,4.52%,11.00%,37.13%,37.96%,7.76%,0.89%,94.73%,5.27%,53.86%,,,17.32%,6.83%,0.31%,5.08%,4.36%,0.75%,15.75%,10.03%,1.47%,0.64%,3.15%,0.46%,53.23%,26.88%,22.83%,0.29%,2.87%,0.35%,13.70%,5.26%,3.85%,3.10%,1.28%,0.20%,100.00%,49.01%,28.46%,9.11%,11.67%,1.76%,654000.0,320500.0,186100.0,59600.0,76300.0,11500.0
12/25/2010,3.13%,63.04%,29.37%,4.47%,8.70%,68.49%,17.37%,5.43%,0.55%,49.00%,45.32%,5.13%,2.94%,66.61%,26.30%,4.16%,3.54%,64.39%,28.24%,3.82%,4.22%,68.99%,22.47%,4.31%,1.56%,64.62%,30.19%,3.63%,0.56%,49.19%,45.57%,4.69%,10.56%,38.02%,39.58%,7.60%,1.03%,96.79%,3.21%,55.43%,,,17.25%,6.81%,0.39%,5.30%,4.07%,0.67%,15.68%,10.14%,1.53%,0.63%,2.88%,0.50%,53.51%,27.42%,22.75%,0.30%,2.73%,0.30%,13.56%,4.89%,4.07%,3.20%,1.15%,0.24%,100.00%,49.27%,28.74%,9.43%,10.85%,1.71%,537500.0,264800.0,154500.0,50700.0,58300.0,9200.0
1/1/2011,3.07%,63.35%,28.73%,4.85%,7.93%,69.33%,17.04%,5.71%,0.69%,49.92%,44.67%,4.72%,3.07%,66.82%,25.27%,4.84%,2.79%,62.36%,30.57%,4.28%,4.56%,70.23%,20.67%,4.53%,1.69%,63.15%,29.72%,5.44%,0.68%,50.05%,44.87%,4.39%,9.87%,38.33%,41.40%,7.58%,0.81%,97.99%,2.01%,54.99%,23.33%,63.29%,16.28%,6.51%,0.36%,5.06%,3.90%,0.45%,14.76%,9.64%,1.34%,0.57%,2.75%,0.46%,54.37%,26.97%,24.07%,0.25%,2.91%,0.18%,14.59%,5.41%,4.60%,3.48%,0.96%,0.14%,100.00%,48.53%,30.36%,9.36%,10.52%,1.23%,560920.0,272220.0,170300.0,52500.0,59000.0,6900.0
1/8/2011,3.55%,65.18%,26.87%,4.40%,8.91%,67.93%,17.35%,5.81%,0.63%,53.16%,41.48%,4.73%,3.53%,68.52%,23.93%,4.02%,3.58%,63.58%,28.07%,4.77%,5.29%,70.99%,19.17%,4.54%,1.90%,66.04%,29.16%,2.90%,0.62%,53.41%,41.79%,4.18%,,,,,,,,,25.62%,65.54%,17.79%,6.77%,0.28%,5.80%,4.25%,0.68%,14.64%,9.28%,1.25%,0.74%,2.89%,0.47%,53.50%,27.33%,22.62%,0.33%,2.97%,0.25%,14.06%,4.92%,4.22%,3.78%,0.98%,0.16%,100.00%,48.30%,28.37%,10.66%,11.10%,1.57%,632300.0,305400.0,179400.0,67400.0,70200.0,9900.0
1/15/2011,3.52%,64.75%,27.19%,4.53%,9.26%,67.82%,17.70%,5.22%,0.67%,53.26%,41.69%,4.38%,3.47%,68.03%,24.10%,4.40%,3.24%,63.24%,28.54%,4.97%,4.94%,71.44%,18.94%,4.69%,2.24%,64.09%,29.83%,3.84%,0.66%,53.52%,41.91%,3.91%,,,,,,,,,27.55%,63.27%,17.30%,6.96%,0.32%,5.34%,4.05%,0.64%,15.08%,9.27%,1.46%,0.78%,3.07%,0.50%,53.26%,25.89%,24.11%,0.37%,2.62%,0.27%,14.36%,5.12%,4.64%,3.39%,1.01%,0.21%,100.00%,47.23%,30.52%,9.88%,10.75%,1.61%,625400.0,295400.0,190900.0,61800.0,67200.0,10100.0
1/22/2011,3.62%,65.21%,26.15%,5.03%,8.38%,68.06%,16.79%,6.77%,0.73%,53.62%,41.31%,4.34%,3.68%,68.65%,22.60%,5.07%,4.03%,63.07%,28.67%,4.23%,5.85%,71.96%,17.67%,4.52%,1.82%,66.37%,28.15%,3.67%,0.73%,53.81%,41.54%,3.92%,,,,,,,,,26.43%,63.00%,17.84%,6.67%,1.33%,5.09%,4.07%,0.67%,19.33%,9.51%,5.75%,0.80%,2.82%,0.45%,51.87%,28.40%,20.05%,0.31%,2.84%,0.27%,10.97%,4.79%,1.47%,3.63%,0.88%,0.19%,100.00%,49.37%,28.60%,9.84%,10.61%,1.58%,638350.0,315150.0,182600.0,62800.0,67700.0,10100.0
1/29/2011,3.71%,65.11%,26.50%,4.69%,7.87%,69.19%,17.10%,5.85%,0.74%,52.92%,41.84%,4.51%,3.97%,68.71%,22.93%,4.39%,3.67%,61.60%,28.74%,6.00%,5.63%,71.67%,16.66%,6.04%,2.23%,65.21%,27.94%,4.61%,0.71%,53.17%,40.62%,5.50%,,,,,,,,,26.32%,63.37%,17.95%,6.49%,1.44%,5.14%,4.15%,0.73%,19.53%,9.18%,6.12%,0.86%,2.89%,0.47%,51.45%,26.19%,22.12%,0.32%,2.56%,0.26%,11.07%,5.05%,1.64%,3.23%,0.98%,0.17%,100.00%,46.92%,31.32%,9.55%,10.58%,1.64%,653300.0,306500.0,204600.0,62400.0,69100.0,10700.0
2/5/2011,3.51%,66.25%,25.78%,4.46%,8.13%,70.73%,14.99%,6.15%,0.92%,55.53%,39.77%,3.78%,3.72%,69.76%,22.20%,4.32%,3.67%,62.36%,28.59%,5.38%,5.51%,72.87%,17.31%,4.31%,1.69%,65.79%,28.78%,3.75%,0.89%,55.67%,39.88%,3.56%,,,,,,,,,27.22%,64.05%,16.33%,5.24%,1.53%,4.85%,4.02%,0.69%,20.04%,9.69%,6.63%,0.65%,2.67%,0.40%,51.60%,27.38%,21.23%,0.32%,2.43%,0.24%,12.04%,5.49%,1.79%,3.61%,0.94%,0.21%,100.00%,47.80%,31.18%,9.43%,10.06%,1.53%,626400.0,299400.0,195300.0,59100.0,63000.0,9600.0
2/12/2011,3.95%,67.20%,24.20%,4.66%,7.64%,69.49%,17.55%,5.33%,0.96%,55.91%,38.47%,4.66%,4.24%,70.77%,20.44%,4.55%,4.20%,64.37%,26.76%,4.68%,5.92%,73.90%,14.92%,5.26%,2.31%,67.17%,26.67%,3.84%,0.97%,56.14%,38.60%,4.29%,,,,,,,,,27.56%,63.69%,18.13%,6.44%,1.96%,5.33%,3.69%,0.70%,18.14%,9.84%,5.35%,0.88%,1.86%,0.22%,51.71%,25.42%,23.43%,0.30%,2.33%,0.23%,12.01%,5.76%,1.74%,3.44%,0.84%,0.23%,100.00%,47.46%,32.47%,9.95%,8.73%,1.39%,639300.0,303400.0,207600.0,63600.0,55800.0,8900.0
2/19/2011,3.92%,65.95%,24.84%,5.29%,7.66%,70.37%,16.39%,5.58%,0.91%,56.05%,38.43%,4.60%,4.36%,68.89%,21.22%,5.53%,3.36%,62.60%,29.25%,4.79%,6.16%,70.95%,16.03%,6.86%,2.18%,65.99%,27.01%,4.82%,0.89%,56.38%,38.62%,4.10%,,,,,,,,,28.44%,62.62%,18.49%,6.72%,1.68%,5.40%,3.87%,0.81%,19.94%,10.18%,6.04%,1.01%,2.30%,0.41%,50.56%,25.39%,22.25%,0.29%,2.36%,0.28%,11.02%,5.02%,1.68%,3.23%,0.86%,0.23%,100.00%,47.30%,31.66%,9.93%,9.38%,1.73%,653500.0,309100.0,206900.0,64900.0,61300.0,11300.0
2/26/2011,4.18%,64.98%,25.77%,5.07%,8.45%,70.02%,15.72%,5.81%,0.89%,53.69%,40.15%,5.28%,4.65%,68.35%,22.15%,4.85%,3.74%,62.30%,28.69%,5.28%,6.58%,71.26%,16.91%,5.24%,2.59%,65.07%,27.93%,4.41%,0.87%,54.05%,40.33%,4.75%,,,,,,,,,28.05%,63.87%,17.63%,6.22%,1.82%,4.83%,3.97%,0.79%,20.43%,10.24%,5.91%,0.93%,2.84%,0.50%,51.38%,26.04%,22.11%,0.29%,2.60%,0.34%,10.56%,4.34%,1.96%,3.21%,0.84%,0.21%,100.00%,46.84%,31.80%,9.26%,10.25%,1.85%,654400.0,306500.0,208100.0,60600.0,67100.0,12100.0
3/5/2011,4.06%,65.06%,25.77%,5.11%,8.68%,70.09%,15.23%,6.00%,0.85%,54.84%,39.82%,4.49%,4.43%,67.86%,22.53%,5.18%,3.48%,63.75%,27.76%,5.01%,6.13%,69.99%,17.72%,6.17%,2.16%,64.91%,28.90%,4.03%,0.83%,55.09%,40.01%,4.07%,,,,,,,,,27.18%,62.51%,18.16%,6.70%,1.77%,5.26%,3.63%,0.79%,21.29%,10.99%,6.11%,0.90%,2.79%,0.50%,49.97%,24.78%,22.04%,0.36%,2.47%,0.33%,10.58%,4.73%,1.91%,3.10%,0.64%,0.20%,100.00%,47.21%,31.83%,9.62%,9.53%,1.82%,644400.0,304200.0,205100.0,62000.0,61400.0,11700.0
3/12/2011,3.93%,65.24%,25.58%,5.25%,8.32%,68.75%,16.77%,6.16%,0.95%,53.22%,40.66%,5.17%,4.32%,69.12%,21.45%,5.11%,3.32%,63.41%,27.95%,5.31%,5.93%,70.75%,16.76%,6.55%,2.10%,65.42%,28.62%,3.86%,0.96%,53.55%,40.80%,4.69%,,,,,,,,,27.01%,62.82%,18.20%,6.80%,1.99%,5.02%,3.62%,0.77%,20.43%,9.88%,6.82%,0.80%,2.45%,0.49%,50.67%,25.52%,22.03%,0.31%,2.48%,0.33%,10.71%,4.86%,1.76%,3.09%,0.80%,0.20%,100.00%,47.06%,32.59%,9.22%,9.34%,1.79%,637900.0,300200.0,207900.0,58800.0,59600.0,11400.0
3/19/2011,3.91%,64.51%,26.34%,5.25%,8.36%,69.31%,16.87%,5.46%,0.85%,53.73%,40.28%,5.14%,4.30%,67.59%,23.04%,5.07%,3.08%,63.16%,27.15%,6.61%,5.32%,70.48%,18.52%,5.69%,2.15%,63.72%,30.00%,4.13%,0.86%,53.85%,40.44%,4.85%,,,,,,,,,25.99%,63.21%,17.53%,6.48%,1.45%,5.07%,3.68%,0.84%,18.70%,9.72%,5.30%,0.81%,2.39%,0.48%,53.37%,26.72%,23.37%,0.29%,2.62%,0.37%,10.40%,4.52%,1.74%,3.10%,0.81%,0.23%,100.00%,47.44%,31.87%,9.27%,9.50%,1.92%,619100.0,293700.0,197300.0,57400.0,58800.0,11900.0
3/26/2011,3.70%,63.89%,26.70%,5.71%,8.08%,68.66%,16.65%,6.61%,0.86%,53.15%,41.26%,4.74%,4.11%,66.91%,23.08%,5.89%,2.87%,62.77%,28.67%,5.70%,5.26%,66.92%,19.85%,7.97%,2.06%,65.41%,28.64%,3.88%,0.85%,53.51%,41.37%,4.27%,,,,,,,,,25.87%,61.06%,17.81%,6.86%,1.56%,4.83%,3.71%,0.84%,21.43%,11.27%,6.11%,0.73%,2.83%,0.49%,49.38%,27.08%,19.13%,0.27%,2.48%,0.41%,11.39%,5.40%,2.01%,3.02%,0.77%,0.19%,100.00%,50.61%,28.82%,8.85%,9.80%,1.93%,632900.0,320300.0,182400.0,56000.0,62000.0,12200.0
4/2/2011,3.62%,62.85%,27.78%,5.75%,8.83%,69.81%,16.17%,5.19%,0.82%,52.55%,41.09%,5.54%,3.78%,65.36%,25.27%,5.59%,3.25%,62.41%,26.43%,7.91%,5.10%,68.10%,19.91%,6.88%,1.73%,61.22%,32.52%,4.53%,0.83%,53.10%,41.18%,4.89%,,,,,,,,,24.08%,60.97%,18.01%,6.97%,1.64%,4.99%,3.61%,0.80%,19.93%,10.98%,5.24%,0.63%,2.63%,0.47%,51.39%,26.31%,21.98%,0.28%,2.44%,0.38%,10.66%,4.96%,1.81%,2.86%,0.81%,0.22%,100.00%,49.22%,30.68%,8.76%,9.49%,1.86%,639600.0,314800.0,196200.0,56000.0,60700.0,11900.0
4/9/2011,3.64%,63.15%,27.96%,5.25%,8.31%,68.46%,16.86%,6.37%,0.91%,54.11%,39.76%,5.22%,3.84%,65.47%,25.63%,5.06%,3.47%,63.50%,27.72%,5.31%,5.71%,68.04%,21.00%,5.25%,1.78%,62.63%,31.46%,4.12%,0.89%,54.46%,39.84%,4.82%,,,,,,,,,25.60%,60.31%,18.81%,7.20%,1.65%,5.19%,3.89%,0.89%,20.19%,10.47%,5.60%,0.65%,2.97%,0.51%,50.30%,25.58%,21.47%,0.32%,2.57%,0.36%,10.70%,4.98%,1.65%,3.06%,0.79%,0.22%,100.00%,48.22%,30.37%,9.21%,10.21%,1.98%,630600.0,304100.0,191500.0,58100.0,64400.0,12500.0
4/16/2011,3.65%,63.73%,27.70%,4.92%,8.42%,68.26%,18.20%,5.12%,1.23%,57.55%,36.59%,4.64%,3.67%,65.56%,25.95%,4.82%,3.45%,60.05%,30.44%,6.06%,5.51%,67.68%,20.88%,5.93%,1.78%,62.92%,31.87%,3.43%,1.24%,57.83%,36.66%,4.27%,,,,,,,,,24.96%,58.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2011,3.55%,62.30%,29.19%,4.96%,7.82%,67.81%,19.66%,4.71%,1.37%,54.40%,39.31%,4.92%,3.54%,64.28%,27.21%,4.96%,4.07%,61.35%,29.28%,5.31%,4.87%,65.70%,22.92%,6.51%,2.18%,61.11%,32.99%,3.72%,1.36%,54.78%,39.34%,4.53%,,,,,,,,,25.24%,61.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2011,3.31%,63.05%,29.03%,4.61%,7.00%,67.62%,21.32%,4.07%,1.12%,55.81%,38.51%,4.56%,3.29%,64.98%,27.10%,4.63%,3.94%,61.14%,29.59%,5.33%,4.40%,66.41%,23.10%,6.08%,1.94%,62.21%,32.54%,3.31%,1.11%,56.08%,38.60%,4.21%,,,,,,,,,24.60%,59.91%,18.46%,7.43%,1.72%,4.72%,3.83%,0.76%,20.11%,9.36%,6.14%,0.64%,3.46%,0.50%,50.44%,27.42%,19.72%,0.29%,2.71%,0.31%,10.99%,5.25%,1.58%,2.84%,1.06%,0.26%,100.00%,49.46%,29.16%,8.49%,11.07%,1.82%,620700.0,307000.0,181000.0,52700.0,68700.0,11300.0
5/7/2011,3.21%,62.32%,30.01%,4.45%,7.91%,70.97%,16.47%,4.65%,1.06%,52.81%,41.25%,4.87%,3.01%,63.92%,28.98%,4.09%,3.85%,62.73%,27.62%,5.80%,3.86%,65.95%,25.79%,4.41%,1.89%,61.33%,33.62%,3.15%,1.07%,53.07%,41.34%,4.52%,,,,,,,,,24.42%,61.29%,17.66%,6.81%,1.70%,4.61%,3.76%,0.77%,21.23%,10.42%,6.72%,0.58%,3.10%,0.41%,50.55%,29.02%,18.51%,0.27%,2.43%,0.32%,10.56%,4.90%,1.74%,2.64%,1.00%,0.27%,100.00%,51.16%,28.68%,8.10%,10.29%,1.78%,659100.0,337200.0,189000.0,53400.0,67800.0,11700.0
5/14/2011,3.17%,62.02%,30.19%,4.63%,6.98%,66.84%,18.45%,7.72%,1.31%,55.77%,38.27%,4.65%,3.04%,63.55%,29.20%,4.21%,4.42%,61.07%,30.34%,4.17%,3.80%,64.89%,26.28%,5.04%,1.98%,62.12%,32.68%,3.21%,1.31%,56.31%,38.49%,3.89%,,,,,,,,,23.68%,61.25%,17.15%,6.44%,1.55%,4.49%,3.83%,0.83%,21.37%,10.29%,6.47%,0.54%,3.64%,0.43%,50.68%,29.80%,18.15%,0.26%,2.17%,0.31%,10.80%,5.38%,1.48%,2.72%,0.97%,0.25%,100.00%,51.91%,27.65%,8.01%,10.61%,1.81%,650300.0,337600.0,179800.0,52100.0,69000.0,11800.0
5/21/2011,3.19%,62.84%,29.56%,4.41%,8.73%,68.49%,16.95%,5.83%,1.11%,55.33%,38.61%,4.94%,2.81%,64.45%,28.81%,3.93%,4.37%,63.03%,27.82%,4.78%,3.47%,65.57%,26.70%,4.26%,2.00%,63.78%,30.96%,3.27%,1.09%,55.71%,38.69%,4.51%,,,,,,,,,23.55%,62.59%,17.51%,6.59%,1.62%,4.44%,4.08%,0.77%,21.00%,9.83%,6.64%,0.50%,3.61%,0.42%,50.64%,28.95%,18.81%,0.26%,2.31%,0.32%,10.85%,5.52%,1.42%,2.60%,1.09%,0.23%,100.00%,50.88%,28.48%,7.80%,11.10%,1.74%,661500.0,336600.0,188400.0,51600.0,73400.0,11500.0
5/28/2011,3.28%,63.16%,29.32%,4.23%,8.72%,69.11%,16.88%,5.28%,1.17%,53.58%,39.95%,5.30%,2.97%,65.60%,27.60%,3.83%,4.44%,62.88%,29.46%,3.23%,3.64%,67.11%,24.60%,4.64%,1.97%,64.43%,30.84%,2.76%,1.16%,53.86%,40.07%,4.91%,,,,,,,,,24.40%,62.69%,17.54%,6.99%,1.53%,4.39%,3.89%,0.74%,21.04%,9.57%,7.46%,0.50%,3.18%,0.33%,50.62%,29.90%,17.69%,0.27%,2.43%,0.33%,10.80%,5.10%,1.78%,2.64%,1.05%,0.22%,100.00%,51.57%,28.46%,7.81%,10.55%,1.62%,673900.0,347500.0,191800.0,52600.0,71100.0,10900.0
6/4/2011,2.97%,63.55%,29.47%,4.00%,6.95%,68.45%,18.96%,5.64%,1.06%,54.29%,39.28%,5.37%,2.69%,66.13%,27.90%,3.28%,5.40%,62.16%,28.38%,4.06%,3.37%,66.77%,26.32%,3.54%,1.91%,64.79%,30.43%,2.87%,1.05%,54.50%,39.24%,5.21%,,,,,,,,,24.66%,63.07%,15.73%,6.26%,1.42%,3.94%,3.45%,0.65%,21.37%,10.42%,6.67%,0.43%,3.43%,0.43%,52.67%,30.63%,19.18%,0.25%,2.29%,0.33%,10.22%,5.23%,1.42%,2.62%,0.75%,0.20%,100.00%,52.54%,28.70%,7.23%,9.93%,1.60%,611500.0,321300.0,175500.0,44200.0,60700.0,9800.0
6/11/2011,3.01%,63.22%,29.96%,3.81%,7.01%,69.08%,17.90%,6.01%,1.06%,54.34%,41.19%,3.41%,2.90%,65.15%,28.27%,3.68%,4.39%,65.92%,26.43%,3.26%,3.50%,67.78%,24.73%,3.99%,1.87%,63.34%,31.70%,3.09%,1.04%,54.67%,41.21%,3.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2011,3.08%,63.22%,29.31%,4.39%,8.58%,68.11%,17.01%,6.31%,0.99%,55.53%,38.61%,4.87%,2.83%,64.91%,28.45%,3.82%,3.61%,64.15%,27.17%,5.07%,3.68%,67.00%,25.18%,4.13%,1.68%,62.05%,32.76%,3.51%,1.00%,55.88%,38.58%,4.54%,,,,,,,,,24.31%,61.26%,17.07%,6.52%,1.69%,4.20%,3.91%,0.76%,21.45%,10.10%,6.89%,0.42%,3.67%,0.36%,51.26%,30.97%,17.59%,0.23%,2.16%,0.31%,10.22%,5.20%,1.56%,2.55%,0.73%,0.17%,100.00%,52.79%,27.74%,7.40%,10.46%,1.60%,686100.0,362200.0,190300.0,50800.0,71800.0,11000.0
6/25/2011,3.19%,63.54%,29.44%,3.83%,8.16%,68.60%,17.97%,5.27%,1.16%,55.69%,39.49%,3.66%,2.98%,65.37%,27.93%,3.72%,4.24%,64.58%,27.74%,3.43%,3.59%,66.85%,25.47%,4.09%,1.90%,63.40%,31.51%,3.19%,1.14%,56.10%,39.47%,3.29%,,,,,,,,,25.19%,63.51%,17.06%,6.47%,1.58%,4.34%,3.95%,0.71%,21.53%,10.21%,6.99%,0.38%,3.63%,0.32%,51.19%,30.99%,17.22%,0.23%,2.39%,0.36%,10.22%,5.15%,1.65%,2.30%,0.94%,0.17%,100.00%,52.82%,27.44%,7.25%,10.92%,1.56%,690600.0,364800.0,189500.0,50100.0,75400.0,10800.0
7/2/2011,3.21%,62.90%,29.54%,4.35%,7.41%,68.26%,18.40%,5.93%,0.88%,53.23%,40.49%,5.40%,3.08%,64.99%,28.15%,3.78%,4.53%,63.79%,27.72%,3.96%,4.32%,67.29%,24.35%,4.04%,1.86%,62.90%,32.07%,3.17%,0.86%,53.65%,40.52%,4.97%,,,,,,,,,24.90%,65.67%,17.94%,6.82%,1.78%,4.51%,4.08%,0.76%,20.76%,10.03%,6.31%,0.43%,3.61%,0.37%,51.44%,29.93%,18.57%,0.25%,2.37%,0.31%,9.85%,4.82%,1.46%,2.42%,0.94%,0.21%,100.00%,51.60%,28.12%,7.61%,11.00%,1.66%,669900.0,345700.0,188400.0,51000.0,73700.0,11100.0
7/9/2011,3.14%,63.14%,29.52%,4.20%,7.79%,69.00%,16.22%,6.99%,0.86%,51.59%,41.73%,5.82%,3.16%,65.94%,27.57%,3.32%,4.48%,66.14%,25.14%,4.24%,4.46%,68.32%,23.57%,3.65%,1.89%,63.95%,31.35%,2.81%,0.86%,51.93%,41.72%,5.49%,,,,,,,,,26.03%,67.47%,16.18%,6.83%,1.52%,3.80%,3.46%,0.58%,21.42%,10.40%,6.62%,0.50%,3.59%,0.31%,51.98%,30.43%,18.59%,0.29%,2.39%,0.27%,10.42%,5.27%,1.74%,2.43%,0.77%,0.21%,100.00%,52.93%,28.48%,7.01%,10.21%,1.37%,584600.0,309400.0,166500.0,41000.0,59700.0,8000.0
7/16/2011,3.22%,63.12%,29.10%,4.55%,7.30%,67.88%,17.95%,6.87%,1.12%,52.82%,39.81%,6.26%,3.07%,65.64%,27.75%,3.54%,4.15%,63.29%,27.69%,4.87%,4.14%,66.72%,25.37%,3.77%,1.90%,64.79%,30.32%,2.99%,1.11%,53.22%,39.91%,5.76%,,,,,,,,,26.19%,65.41%,18.24%,7.01%,1.74%,4.52%,4.30%,0.67%,20.47%,9.15%,6.61%,0.40%,3.94%,0.37%,51.00%,30.02%,18.03%,0.27%,2.38%,0.30%,10.29%,5.25%,1.43%,2.45%,1.00%,0.16%,100.00%,51.43%,27.80%,7.65%,11.62%,1.50%,672200.0,345700.0,186900.0,51400.0,78100.0,10100.0
