Date,IOD
2006-03-13,-0.318062
2006-03-20,-0.567852
2006-03-27,-0.753653
2006-04-03,-0.417023
2006-04-10,-0.466846
2006-04-17,-0.693508
2006-04-24,-0.831288
2006-05-01,-0.312153
2006-05-08,-0.427724
2006-05-15,-0.582703
2006-05-22,-0.364672
2006-05-29,-0.245769
2006-06-05,0.136939
2006-06-12,0.293199
2006-06-19,0.505271
2006-06-26,0.488135
2006-07-03,0.107659
2006-07-10,0.17061
2006-07-17,0.14938
2006-07-24,0.076898
2006-07-31,0.13871
2006-08-07,-0.076665
2006-08-14,0.379196
2006-08-21,0.651396
2006-08-28,0.975283
2006-09-04,0.836121
2006-09-11,0.60436
2006-09-18,0.564381
2006-09-25,0.555515
2006-10-02,0.683747
2006-10-09,0.821316
2006-10-16,1.044408
2006-10-23,1.356993
2006-10-30,1.328493
2006-11-20,2.136066
2006-11-27,2.151041
2006-12-04,2.215066
2006-12-11,2.23365
2006-12-18,2.214932
2006-12-25,2.215661
2007-01-01,1.645262
2007-01-08,1.343453
2007-01-15,1.388657
2007-01-22,1.505501
2007-01-29,1.502656
2007-02-05,1.226167
2007-02-12,1.277581
2007-02-19,1.164778
2007-02-26,1.101974
2007-03-05,1.124768
2007-03-12,1.01811
2007-03-19,1.140646
2007-03-26,1.044146
2007-04-02,1.126724
2007-04-09,0.706715
2007-04-16,0.223306
2007-04-23,-0.120009
2007-04-30,-0.287341
2007-05-07,0.03902
2007-05-14,-0.007235
2007-05-21,0.042271
2007-05-28,0.253469
2007-06-04,0.90032
2007-06-11,1.158437
2007-06-18,1.103319
2007-06-25,0.87444
2007-07-02,0.468086
2007-07-09,0.396106
2007-07-16,0.529603
2007-07-23,0.513001
2007-07-30,0.185383
2007-08-06,-0.331947
2007-08-13,-0.114891
2007-08-20,0.157316
2007-08-27,0.387341
2007-09-03,0.342113
2007-09-10,0.486307
2007-09-17,0.445714
2007-09-24,0.482013
2007-10-01,0.935448
2007-10-08,0.830194
2007-10-15,0.7154
2007-10-22,0.445513
2007-10-29,0.095958
2007-11-05,0.079482
2007-11-12,-0.21053
2007-11-19,-0.340149
2007-11-26,-0.315557
2007-12-03,-0.240934
2007-12-10,-0.054947
2007-12-17,-0.364537
2007-12-24,-0.734717
2007-12-31,-0.920652
2008-01-07,-1.11552
2008-01-14,-0.782115
2008-01-21,-0.50868
2008-01-28,-0.219304
2008-02-04,-0.852221
2008-02-11,-1.345395
2008-02-18,-1.327981
2008-02-25,-1.291798
2008-03-03,-1.230514
