DATE,BR_SOJA3_PRICE
2023-03-02,12.53
2023-03-03,12.35
2023-03-06,12.72
2023-03-07,12.75
2023-03-08,12.85
2023-03-09,12.8
2023-03-10,12.94
2023-03-13,12.18
2023-03-14,11.83
2023-03-15,11.67
2023-03-16,12.14
2023-03-17,11.89
2023-03-20,11.4
2023-03-21,11.29
2023-03-22,11.3
2023-03-23,11.16
2023-03-24,11.53
2023-03-27,12.52
2023-03-28,12.8
2023-03-29,12.82
2023-03-30,13.16
2023-03-31,11.94
2023-04-03,11.6
2023-04-04,11.48
2023-04-05,11.5
2023-04-06,11.41
2023-04-10,11.25
2023-04-11,11.6
2023-04-12,11.45
2023-04-13,11.58
2023-04-14,11.46
2023-04-17,11.54
2023-04-18,11.6
2023-04-19,11.55
2023-04-20,11.48
2023-04-24,11.38
2023-04-25,11.06
2023-04-26,11.1
2023-04-27,11.14
2023-04-28,10.96
2023-05-02,10.88
2023-05-03,10.93
2023-05-04,11.0
2023-05-05,11.25
2023-05-08,11.21
2023-05-09,11.35
2023-05-10,11.45
2023-05-11,11.78
2023-05-12,12.04
2023-05-15,12.16
2023-05-16,11.76
2023-05-17,11.69
2023-05-18,11.79
2023-05-19,11.7
2023-05-22,11.83
2023-05-23,11.47
2023-05-24,11.17
2023-05-25,11.11
2023-05-26,11.2
2023-05-29,11.27
2023-05-30,11.0
2023-05-31,10.85
2023-06-01,10.78
2023-06-02,10.67
2023-06-05,10.6
2023-06-06,10.7
2023-06-07,10.89
2023-06-09,10.95
2023-06-12,10.97
2023-06-13,10.92
2023-06-14,10.87
2023-06-15,10.99
2023-06-16,10.94
2023-06-19,10.68
2023-06-20,10.74
2023-06-21,10.75
2023-06-22,10.69
2023-06-23,10.73
2023-06-26,10.7
2023-06-27,10.5
2023-06-28,10.34
2023-06-29,10.49
2023-06-30,10.81
2023-07-03,11.24
2023-07-04,11.45
2023-07-05,11.58
2023-07-06,11.25
2023-07-07,11.5
2023-07-10,11.49
2023-07-11,11.59
2023-07-12,11.68
2023-07-13,11.51
2023-07-14,11.3
2023-07-17,11.2
2023-07-18,11.7
2023-07-19,11.46
2023-07-20,11.37
2023-07-21,11.63
2023-07-24,11.85
2023-07-25,11.67
2023-07-26,11.4
2023-07-27,11.61
2023-07-28,11.38
2023-07-31,11.62
2023-08-01,11.82
2023-08-02,11.7
2023-08-03,11.78
2023-08-04,11.94
2023-08-07,11.8
2023-08-08,11.57
2023-08-09,11.44
2023-08-10,11.68
2023-08-11,12.49
2023-08-14,12.83
2023-08-15,13.26
2023-08-16,13.08
2023-08-17,13.25
2023-08-18,13.6
2023-08-21,13.34
2023-08-22,13.78
2023-08-23,13.94
2023-08-24,14.04
2023-08-25,13.94
2023-08-28,14.23
2023-08-29,14.92
2023-08-30,14.89
2023-08-31,14.65
2023-09-01,14.48
2023-09-04,14.07
2023-09-05,13.98
2023-09-06,14.03
2023-09-08,14.06
2023-09-11,14.07
2023-09-12,14.66
2023-09-13,14.89
2023-09-14,14.74
2023-09-15,14.38
2023-09-18,13.97
2023-09-19,13.98
2023-09-20,14.14
2023-09-21,13.67
2023-09-22,13.79
2023-09-25,13.28
2023-09-26,13.25
2023-09-27,12.86
2023-09-28,13.26
2023-09-29,13.28
2023-10-02,12.91
2023-10-03,12.64
2023-10-04,12.55
2023-10-05,12.64
2023-10-06,12.52
2023-10-09,12.17
2023-10-10,13.08
2023-10-11,13.32
2023-10-13,13.29
2023-10-16,13.17
2023-10-17,12.63
2023-10-18,12.24
2023-10-19,12.36
2023-10-20,12.99
2023-10-23,13.13
2023-10-24,13.5
2023-10-25,13.44
2023-10-26,13.53
2023-10-27,13.12
2023-10-30,12.46
2023-10-31,12.63
2023-11-01,12.74
2023-11-03,13.25
2023-11-06,13.22
2023-11-07,13.26
2023-11-08,13.48
2023-11-09,13.39
2023-11-10,14.34
2023-11-13,14.61
2023-11-14,14.5
2023-11-16,15.0
2023-11-17,15.19
2023-11-20,15.36
2023-11-21,14.86
2023-11-22,14.65
2023-11-23,14.75
2023-11-24,14.95
2023-11-27,15.61
2023-11-28,15.62
2023-11-29,15.28
2023-11-30,15.8
2023-12-01,15.63
2023-12-04,15.08
2023-12-05,15.17
2023-12-06,14.15
2023-12-07,14.79
2023-12-08,15.25
2023-12-11,15.05
2023-12-12,15.74
2023-12-13,15.69
2023-12-14,15.75
2023-12-15,15.09
2023-12-18,15.56
