DATE,US_SUGAR_NET_LONG
2008-07-29,112369.0
2008-08-05,128646.0
2008-08-12,138659.0
2008-08-19,133512.0
2008-08-26,149819.0
2008-09-02,133822.0
2008-09-09,131307.0
2008-09-16,109973.0
2008-09-23,105739.0
2008-09-30,106025.0
2008-10-07,89978.0
2008-10-14,91211.0
2008-10-21,93518.0
2008-10-28,93372.0
2008-11-04,97907.0
2008-11-11,93079.0
2008-11-18,94596.0
2008-11-25,99578.0
2008-12-02,103796.0
2008-12-09,77197.0
2008-12-16,87849.0
2008-12-23,83514.0
2008-12-30,82539.0
2009-01-06,93451.0
2009-01-13,107598.0
2009-01-20,113669.0
2009-01-27,127746.0
2009-02-03,133230.0
2009-02-10,146910.0
2009-02-17,143319.0
2009-02-24,136986.0
2009-03-03,130844.0
2009-03-10,123885.0
2009-03-17,130437.0
2009-03-24,155319.0
2009-03-31,140650.0
2009-04-07,127285.0
2009-04-14,135828.0
2009-04-21,126514.0
2009-04-28,140758.0
2009-05-05,167011.0
2009-05-12,171704.0
2009-05-19,171478.0
2009-05-26,184540.0
2009-06-02,172092.0
2009-06-09,164097.0
2009-06-16,159370.0
2009-06-23,166648.0
2009-06-30,179798.0
2009-07-07,174433.0
2009-07-14,166979.0
2009-07-21,174446.0
2009-07-28,197844.0
2009-08-04,206330.0
2009-08-11,169809.0
2009-08-18,177946.0
2009-08-25,169835.0
2009-09-01,175014.0
2009-09-08,164104.0
2009-09-15,172713.0
2009-09-22,186758.0
2009-09-29,200704.0
2009-10-06,197545.0
2009-10-13,175371.0
2009-10-20,180964.0
2009-10-27,175135.0
2009-11-03,172222.0
2009-11-10,151248.0
2009-11-17,147892.0
2009-11-24,147445.0
2009-12-01,155682.0
2009-12-08,157127.0
2009-12-15,185204.0
2009-12-22,190803.0
2009-12-29,183760.0
2010-01-05,184440.0
2010-01-12,190907.0
2010-01-19,194919.0
2010-01-26,196399.0
2010-02-02,200835.0
2010-02-09,174785.0
2010-02-16,183473.0
2010-02-23,176972.0
2010-03-02,170001.0
2010-03-09,163449.0
2010-03-16,171353.0
2010-03-23,155463.0
2010-03-30,155610.0
2010-04-06,142400.0
2010-04-13,141098.0
2010-04-20,112858.0
2010-04-27,99857.0
2010-05-04,101512.0
2010-05-11,98704.0
2010-05-18,95304.0
2010-05-25,99140.0
2010-06-01,96479.0
2010-06-08,95557.0
2010-06-15,105353.0
2010-06-22,105166.0
2010-06-29,100640.0
2010-07-06,97812.0
2010-07-13,97708.0
2010-07-20,104921.0
2010-07-27,109003.0
2010-08-03,115802.0
2010-08-10,115520.0
2010-08-17,123188.0
2010-08-24,119293.0
2010-08-31,120071.0
2010-09-07,128598.0
2010-09-14,139442.0
2010-09-21,155912.0
2010-09-28,154209.0
2010-10-05,146715.0
