DATE,US_COTTON_NET_LONG
2009-06-23,9055.0
2009-06-30,9309.0
2009-07-07,13465.0
2009-07-14,19331.0
2009-07-21,22655.0
2009-07-28,19383.0
2009-08-04,18880.0
2009-08-11,19524.0
2009-08-18,21458.0
2009-08-25,15734.0
2009-09-01,10205.0
2009-09-08,14135.0
2009-09-15,21463.0
2009-09-22,28960.0
2009-09-29,29256.0
2009-10-06,26676.0
2009-10-13,31765.0
2009-10-20,38412.0
2009-10-27,40166.0
2009-11-03,44416.0
2009-11-10,42155.0
2009-11-17,39293.0
2009-11-24,44469.0
2009-12-01,43038.0
2009-12-08,43556.0
2009-12-15,44483.0
2009-12-22,43510.0
2009-12-29,45455.0
2010-01-05,41032.0
2010-01-12,36193.0
2010-01-19,37132.0
2010-01-26,29581.0
2010-02-02,22938.0
2010-02-09,16717.0
2010-02-16,21473.0
2010-02-23,29566.0
2010-03-02,34789.0
2010-03-09,38503.0
2010-03-16,38702.0
2010-03-23,39461.0
2010-03-30,36396.0
2010-04-06,39391.0
2010-04-13,34264.0
2010-04-20,41827.0
2010-04-27,41998.0
2010-05-04,40398.0
2010-05-11,32603.0
2010-05-18,30409.0
2010-05-25,31226.0
2010-06-01,23238.0
2010-06-08,11282.0
2010-06-15,22357.0
2010-06-22,25060.0
2010-06-29,25636.0
2010-07-06,15558.0
2010-07-13,13791.0
2010-07-20,9780.0
2010-07-27,12808.0
2010-08-03,23537.0
2010-08-10,34332.0
2010-08-17,42380.0
2010-08-24,47599.0
2010-08-31,53193.0
2010-09-07,54859.0
2010-09-14,55939.0
2010-09-21,48135.0
2010-09-28,43260.0
2010-10-05,35875.0
2010-10-12,35020.0
2010-10-19,35362.0
2010-10-26,39608.0
2010-11-02,38573.0
2010-11-09,37006.0
2010-11-16,38542.0
2010-11-23,37112.0
2010-11-30,39065.0
2010-12-07,36498.0
2010-12-14,32664.0
2010-12-21,31772.0
2010-12-28,27857.0
2011-01-04,27329.0
2011-01-11,25813.0
2011-01-18,28483.0
2011-01-25,31552.0
2011-02-01,34744.0
2011-02-08,26093.0
2011-02-15,32346.0
2011-02-22,28901.0
2011-03-01,26708.0
2011-03-08,25353.0
2011-03-15,22926.0
2011-03-22,20770.0
2011-03-29,20067.0
